"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","train_n","train_errors","train_precision","train_lcb","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Arizona","other_error","2-3","elderly_disabled_i > 0.500 & rawben_rel_max > 0.994 & rawben_rel_max <= 0.996 & unc_rawben_rel_max <= 0.995","elderly_disabled_i > 0.4500 & rawben_rel_max > 0.8946 & rawben_rel_max <= 0.9960 & unc_rawben_rel_max <= 0.9950",FALSE,5,0,0,0,1,1,0,NA
"Arizona","other_error","2-3","elderly_disabled_i > 0.500 & HH_size_n <= 2.500 & unc_rawben_rel_max > 0.993 & unc_rawben_rel_max <= 0.996","elderly_disabled_i > 0.4500 & HH_size_n <= 2.2500 & unc_rawben_rel_max > 0.8937 & unc_rawben_rel_max <= 1.0960",FALSE,5,0,0,0,1,1,0,NA
"Arizona","other_error","2-3","cat_elig > 0.500 & married > 0.500 & rawben_rel_max <= 0.995 & unc_rawben_rel_max > 0.994","cat_elig > 0.4500 & married > 0.4500 & rawben_rel_max <= 1.0940 & unc_rawben_rel_max > 0.8946",FALSE,25,4,0.16,0.088,15,0.133,0,NA
"Arizona","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.996 & shelter_expenses_by_hh_size > 502.000","rawben_rel_max >   0.7448 & rawben_rel_max <=   0.8964 & shelter_expenses_by_hh_size > 502.0000",FALSE,9,6,0.667,0.454,5,0.2,0,NA
"Arizona","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 938.000","rawben_rel_max >   0.7448 & rawben_rel_max <=   1.0980 & shelter_expenses_by_hh_size > 703.5000",FALSE,13,4,0.308,0.173,10,0.5,0,NA
"Arizona","other_error","2-3","children_i <= 0.500 & HH_size_n <= 2.500 & unc_rawben_rel_max > 0.992 & unc_rawben_rel_max <= 0.998","children_i <= 0.4500 & HH_size_n <= 2.2500 & unc_rawben_rel_max > 0.8928 & unc_rawben_rel_max <= 1.0980",FALSE,5,1,0.2,0.062,1,0,0,NA
"Arizona","other_error","2-3","children_i <= 0.500 & rawben_rel_max > 0.993 & rawben_rel_max <= 0.996","children_i <= 0.3750 & rawben_rel_max > 0.7448 & rawben_rel_max <= 0.9960",FALSE,14,7,0.5,0.338,6,0.167,0,NA
"Arizona","other_error","2-3","count_divisible_by_100 <=   0.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 353.000 & unc_rawben_rel_max >   0.993","count_divisible_by_100 <=   0.450 & rawben_rel_max <=   1.098 & total_deductions_by_hh_size > 353.000 & unc_rawben_rel_max >   1.092",FALSE,10,4,0.4,0.23,8,0.375,0,NA
"Arizona","other_error","2-3","cat_elig >   0.500 & rawben_rel_max >   0.993 & rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size > 554.000","cat_elig >   0.4500 & rawben_rel_max >   0.8937 & rawben_rel_max <=   1.0970 & shelter_expenses_by_hh_size > 609.4000",FALSE,20,5,0.25,0.148,12,0.5,0,NA
"Arizona","other_error","2-3","children_i <=   0.500 & rawben_rel_max <=   0.997 & unc_rawben_rel_max >   0.993 & utilities > 284.000","children_i <=   0.4500 & rawben_rel_max <=   1.0970 & unc_rawben_rel_max >   0.8937 & utilities > 255.6000",FALSE,15,3,0.2,0.101,6,0.5,0,NA
"Arizona","other_error","2-3","children_i <= 0.500 & percent_abawd <= 0.583 & rawben_rel_max > 0.992 & rawben_rel_max <= 0.997","children_i <= 0.4500 & percent_abawd <= 0.5247 & rawben_rel_max > 0.9920 & rawben_rel_max <= 1.0970",FALSE,19,2,0.105,0.045,17,0.176,0,NA
"Arizona","other_error","1","total_deductions_by_hh_size > 1290.000 & unc_rawben_rel_max >    0.987 & unc_rawben_rel_max <=    0.991","total_deductions_by_hh_size > 967.5000 & unc_rawben_rel_max >   0.7402 & unc_rawben_rel_max <=   1.2390",FALSE,5,0,0,0,0,NA,0,NA
"Arizona","other_error","2-3","rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 630.000 & unc_rawben_rel_max >   0.961","rawben_rel_max <=   1.0970 & total_deductions_by_hh_size > 472.5000 & unc_rawben_rel_max >   0.7208",FALSE,8,4,0.5,0.294,8,0.5,0,NA
"Arizona","other_error","2-3","cat_elig > 0.500 & elderly_disabled_i > 0.500 & unc_rawben_rel_max > 0.993 & unc_rawben_rel_max <= 0.996","cat_elig > 0.4500 & elderly_disabled_i > 0.4500 & unc_rawben_rel_max > 0.8937 & unc_rawben_rel_max <= 0.9960",FALSE,5,0,0,0,2,0.5,0,NA
"Arizona","other_error","2-3","rawben_rel_max >   0.993 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 352.000","rawben_rel_max >   0.7448 & rawben_rel_max <=   0.8982 & total_deductions_by_hh_size > 352.0000",FALSE,5,4,0.8,0.514,4,0.25,0,NA
"Arizona","other_error","2-3","children_i <= 0.500 & rawben_rel_max > 0.992 & rawben_rel_max <= 0.997","children_i <= 0.375 & rawben_rel_max > 0.744 & rawben_rel_max <= 0.997",FALSE,14,7,0.5,0.338,6,0.167,0,NA
"Arizona","other_error","2-3","children_i <= 0.500 & rawben_rel_max > 0.994 & rawben_rel_max <= 0.998","children_i <= 0.3750 & rawben_rel_max > 0.7455 & rawben_rel_max <= 0.9980",FALSE,14,7,0.5,0.338,6,0.167,0,NA
