fiscal_year,calendar_year,month_name,month_num,state,stratum,sampling_interval,stratum_sampling_size,snap_units_in_state,units_with_complete_reviews,ineligible_units,disqualification_rate,adjusted_snap_units_in_state,failing_units,stratum_sampling_size_edited,stratum_specific_weight,pct_ineligible,ym
2017,2017,March,3,Vermont,0,1,64,42420,57,1,0.0175,41676,0,56,744,1.7500000000000002,2017-03
2017,2017,March,3,Virginia,0,1,94,366101,67,0,0,366101,0,67,5464,0,2017-03
2017,2017,March,3,Washington,0,1,91,524525,73,0,0,524525,0,73,7185,0,2017-03
2017,2017,March,3,West Virginia,0,1,87,172711,65,0,0,172711,0,65,2657,0,2017-03
2017,2017,March,3,Wisconsin,0,1,100,346479,83,0,0,346479,0,83,4174,0,2017-03
2017,2017,March,3,Wyoming,0,1,32,14565,30,2,0.0667,13594,0,28,486,6.67,2017-03
2017,2017,March,3,Guam,0,1,43,15038,42,0,0,15038,0,42,358,0,2017-03
2017,2017,March,3,Virgin Islands,0,1,27,12786,26,1,0.0385,12294,0,25,492,3.85,2017-03
2017,2017,April,4,Alabama,0,1,91,369245,81,0,0,369245,0,81,4559,0,2017-04
2017,2017,April,4,Alaska,0,1,62,39292,46,1,0.0217,38438,1,44,874,2.17,2017-04
2017,2017,April,4,Arizona,0,1,94,406375,75,5,0.0667,379283,0,70,5418,6.67,2017-04
2017,2017,April,4,Arkansas,0,1,97,167138,90,3,0.0333,161567,1,86,1879,3.3300000000000005,2017-04
2017,2017,April,4,California,0,1,90,1967869,68,1,0.0147,1938930,0,67,28939,1.47,2017-04
2017,2017,April,4,Colorado,0,1,94,221700,76,0,0,221700,0,76,2917,0,2017-04
2017,2017,April,4,Connecticut,0,1,90,233297,75,0,0,233297,0,75,3111,0,2017-04
2017,2017,April,4,Delaware,0,1,92,70319,72,3,0.0417,67389,0,69,977,4.17,2017-04
2017,2017,April,4,District of Columbia,0,1,103,69860,87,3,0.0345,67451,0,84,803,3.45,2017-04
2017,2017,April,4,Florida,0,1,91,1662199,76,0,0,1662199,0,76,21871,0,2017-04
2017,2017,April,4,Georgia,0,1,93,741712,76,2,0.0263,722193,0,74,9759,2.63,2017-04
2017,2017,April,4,Hawaii,0,1,81,85344,48,0,0,85344,0,48,1778,0,2017-04
2017,2017,April,4,Idaho,0,1,98,74697,82,1,0.0122,73786,0,81,911,1.22,2017-04
2017,2017,April,4,Illinois,0,1,98,960597,82,1,0.0122,948882,0,81,11715,1.22,2017-04
2017,2017,April,4,Indiana,0,1,102,293390,82,3,0.0366,282656,0,79,3578,3.66,2017-04
2017,2017,April,4,Iowa,0,1,93,171789,88,2,0.0227,167885,0,86,1952,2.27,2017-04
2017,2017,April,4,Kansas,0,1,89,107738,79,1,0.0127,106374,0,78,1364,1.27,2017-04
2017,2017,April,4,Kentucky,0,1,150,308032,141,0,0,308032,0,141,2185,0,2017-04
2017,2017,April,4,Louisiana,0,1,98,412411,62,0,0,412411,0,62,6652,0,2017-04
2017,2017,April,4,Maine,0,1,96,92788,87,2,0.023,90655,0,85,1067,2.3,2017-04
2017,2017,April,4,Maryland,0,1,85,354043,61,2,0.0328,342435,1,58,5904,3.2800000000000002,2017-04
2017,2017,April,4,Massachusetts,0,1,91,441807,80,0,0,441807,0,80,5523,0,2017-04
2017,2017,April,4,Michigan,0,1,90,726446,80,1,0.0125,717365,0,79,9081,1.25,2017-04
2017,2017,April,4,Minnesota,0,1,92,221213,89,0,0,221213,0,89,2486,0,2017-04
2017,2017,April,4,Mississippi,0,1,91,241552,86,0,0,241552,0,86,2809,0,2017-04
2017,2017,April,4,Missouri,0,1,86,350201,79,3,0.038,336902,0,76,4433,3.8,2017-04
2017,2017,April,4,Montana,0,1,83,58159,64,2,0.0313,56342,0,62,909,3.1300000000000003,2017-04
2017,2017,April,4,Nebraska,0,1,90,78615,77,2,0.026,76573,0,75,1021,2.6,2017-04
2017,2017,April,4,Nevada,0,1,101,224216,80,1,0.0125,221413,0,79,2803,1.25,2017-04
2017,2017,April,4,New Hampshire,0,1,66,45916,54,3,0.0556,43365,0,51,850,5.56,2017-04
2017,2017,April,4,New Jersey,0,1,86,403262,56,1,0.0179,396061,0,55,7201,1.79,2017-04
2017,2017,April,4,New Mexico,0,1,98,217419,78,0,0,217419,0,78,2787,0,2017-04
2017,2017,April,4,New York,0,1,92,1605867,77,1,0.013,1585012,1,75,21133,1.3,2017-04
2017,2017,April,4,North Carolina,0,1,84,674671,83,0,0,674671,0,83,8129,0,2017-04
2017,2017,April,4,North Dakota,0,1,44,25279,42,2,0.0476,24075,0,40,602,4.760000000000001,2017-04
2017,2017,April,4,Ohio,0,1,95,742822,84,1,0.0119,733979,0,83,8843,1.1900000000000002,2017-04
2017,2017,April,4,Oklahoma,0,1,99,271155,84,1,0.0119,267927,0,83,3228,1.1900000000000002,2017-04
2017,2017,April,4,Oregon,0,1,101,388593,89,3,0.0337,375494,0,86,4366,3.37,2017-04
2017,2017,April,4,Pennsylvania,0,1,87,949708,68,1,0.0147,935742,0,67,13966,1.47,2017-04
2017,2017,April,4,Rhode Island,0,1,88,95391,77,2,0.026,92913,0,75,1239,2.6,2017-04
2017,2017,April,4,South Carolina,0,1,90,333562,85,1,0.0118,329638,0,84,3924,1.18,2017-04
2017,2017,April,4,South Dakota,0,1,63,41220,62,0,0,41220,0,62,665,0,2017-04
2017,2017,April,4,Tennessee,0,1,105,507087,88,2,0.0227,495562,0,86,5762,2.27,2017-04
2017,2017,April,4,Texas,0,1,103,1583814,84,1,0.0119,1564959,0,83,18855,1.1900000000000002,2017-04
2017,2017,April,4,Utah,0,1,87,82922,73,1,0.0137,81786,0,72,1136,1.37,2017-04
2017,2017,April,4,Vermont,0,1,64,41941,59,0,0,41941,0,59,711,0,2017-04
2017,2017,April,4,Virginia,0,1,87,360799,63,6,0.0952,326437,0,57,5727,9.520000000000001,2017-04
2017,2017,April,4,Washington,0,1,106,522120,89,0,0,522120,0,89,5867,0,2017-04
2017,2017,April,4,West Virginia,0,1,94,171934,75,4,0.0533,162764,0,71,2292,5.33,2017-04
2017,2017,April,4,Wisconsin,0,1,100,342723,80,2,0.025,334155,0,78,4284,2.5,2017-04
