"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","x","engine","param","setting"
0.2,693,6826,0.191429693196478,0.171696454731907,0.391449565798263,0.43973184970031,0.43973184970031,"ranger","max_depth","max_depth=3"
0.25,230,1860,0.0521622076392394,0.210752688172043,0.130928523714095,0.138978295585836,0.138978295585836,"ranger","max_depth","max_depth=3"
0.3,93,676,0.0189578776151214,0.252958579881657,0.0571142284569138,0.0662628931224625,0.0662628931224625,"ranger","max_depth","max_depth=3"
0.35,34,325,0.00911436423803915,0.276923076923077,0.030060120240481,0.0355135455111282,0.0355135455111282,"ranger","max_depth","max_depth=3"
0.4,20,151,0.00423467384598127,0.28476821192053,0.0143620574482298,0.0146123640737984,0.0146123640737984,"ranger","max_depth","max_depth=3"
0.45,12,110,0.00308486174210556,0.290909090909091,0.010688042752171,0.0113842060082569,0.0113842060082569,"ranger","max_depth","max_depth=3"
0.5,5,52,0.00145829827808626,0.365384615384615,0.00634602538410154,0.00701020410105505,0.00701020410105505,"ranger","max_depth","max_depth=3"
0.55,1,5,0.000140220988277525,0.4,0.000668002672010688,0.000394002782763615,0.000394002782763615,"ranger","max_depth","max_depth=3"
0.6,1,5,0.000140220988277525,0.4,0.000668002672010688,0.000394002782763615,0.000394002782763615,"ranger","max_depth","max_depth=3"
0.05,19445,35658,1,0.0839643277805822,1,1,1,"ranger","max_depth","max_depth=5"
0.1,14940,28120,0.788602838072803,0.10124466571835,0.950901803607214,0.949405855223963,0.949405855223963,"ranger","max_depth","max_depth=5"
0.15,8198,18011,0.505104043973302,0.132641163733274,0.797929191716767,0.817824152941602,0.817824152941602,"ranger","max_depth","max_depth=5"
0.2,2834,9136,0.256211789780694,0.167031523642732,0.509686038744155,0.54352779051995,0.54352779051995,"ranger","max_depth","max_depth=5"
0.25,1046,3971,0.111363508890011,0.198942331906321,0.263861055444222,0.293107616054757,0.293107616054757,"ranger","max_depth","max_depth=5"
0.3,476,1783,0.0500028044197656,0.227145260796411,0.135270541082164,0.149505973805477,0.149505973805477,"ranger","max_depth","max_depth=5"
0.35,215,958,0.0268663413539739,0.25678496868476,0.0821643286573146,0.0931445419194217,0.0931445419194217,"ranger","max_depth","max_depth=5"
0.4,130,574,0.0160973694542599,0.247386759581882,0.0474281897127589,0.0545265590233299,0.0545265590233299,"ranger","max_depth","max_depth=5"
