"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","x","n_pool","subsample","setting"
0.05,8581,35658,1,0.0839643277805822,1,1,1,8725,0.8,"subsample=0.80"
0.1,7001,28973,0.812524538672949,0.0988851689504021,0.956913827655311,0.956958526924475,0.956958526924475,8725,0.8,"subsample=0.80"
0.15,4645,19992,0.560659599528857,0.124899959983994,0.834001336005344,0.850952744410205,0.850952744410205,8725,0.8,"subsample=0.80"
0.2,2256,11793,0.330725222951371,0.155346391927415,0.61189044756179,0.639078223827842,0.639078223827842,8725,0.8,"subsample=0.80"
0.25,1166,6149,0.172443771383701,0.182956578305416,0.375751503006012,0.414154026537134,0.414154026537134,8725,0.8,"subsample=0.80"
0.3,630,3081,0.0864041729766111,0.206426484907498,0.212424849699399,0.232766185044263,0.232766185044263,8725,0.8,"subsample=0.80"
0.35,343,1643,0.0460766167479948,0.227023737066342,0.124582498329993,0.136629506049941,0.136629506049941,8725,0.8,"subsample=0.80"
0.4,202,956,0.0268102529586629,0.239539748953975,0.0764863059452238,0.0835666578476028,0.0835666578476028,8725,0.8,"subsample=0.80"
0.45,109,562,0.0157608390823939,0.247330960854093,0.0464261857047428,0.0521397015857184,0.0521397015857184,8725,0.8,"subsample=0.80"
0.5,56,356,0.00998373436535981,0.230337078651685,0.0273881095524382,0.0326394189315482,0.0326394189315482,8725,0.8,"subsample=0.80"
0.55,28,142,0.00398227606708172,0.253521126760563,0.0120240480961924,0.0144905467883063,0.0144905467883063,8725,0.8,"subsample=0.80"
0.6,15,83,0.00232766840540692,0.265060240963855,0.00734802939211757,0.0104229914899206,0.0104229914899206,8725,0.8,"subsample=0.80"
0.65,9,29,0.000813281732009647,0.310344827586207,0.0030060120240481,0.00471851641773431,0.00471851641773431,8725,0.8,"subsample=0.80"
0.7,7,24,0.000673060743732122,0.291666666666667,0.00233800935203741,0.00366022875002141,0.00366022875002141,8725,0.8,"subsample=0.80"
0.75,3,14,0.000392618767177071,0.428571428571429,0.00200400801603206,0.0033061972640599,0.0033061972640599,8725,0.8,"subsample=0.80"
0.8,1,7,0.000196309383588536,0.428571428571429,0.00100200400801603,0.00170734539197567,0.00170734539197567,8725,0.8,"subsample=0.80"
0.85,1,7,0.000196309383588536,0.428571428571429,0.00100200400801603,0.00170734539197567,0.00170734539197567,8725,0.8,"subsample=0.80"
