"state","budget","f_min","n_rules_core","n_rules_total","used_completion","window_redone","walk_depth","base_precision","rewalk_precision","precision_diff","base_errors","rewalk_errors","base_dollar_recall_unw","rewalk_dollar_recall_unw","dollar_recall_unw_diff","base_dollar_recall_wtd","rewalk_dollar_recall_wtd","dollar_recall_wtd_diff","base_flagged_share","rewalk_flagged_share","fill_rate"
"California",5,0.55,22,49,FALSE,FALSE,1258,0.3125,0.35,0.0375,5,7,0.06474959926167,0.0938456307378443,0.0290960314761743,0.0709566820801106,0.106776372184464,0.0358196901043535,0.0196560196560197,0.0245700245700246,0.491400491400491
"California",5,0.6,22,49,FALSE,FALSE,1251,0.3125,0.35,0.0375,5,7,0.06474959926167,0.0938456307378443,0.0290960314761743,0.0709566820801106,0.106776372184464,0.0358196901043535,0.0196560196560197,0.0245700245700246,0.491400491400491
"California",5,0.65,23,59,FALSE,FALSE,1561,0.3125,0.35,0.0375,5,7,0.06474959926167,0.0938456307378443,0.0290960314761743,0.0709566820801106,0.106776372184464,0.0358196901043535,0.0196560196560197,0.0245700245700246,0.491400491400491
"California",5,0.7,19,57,FALSE,FALSE,1913,0.3125,0.294117647058824,-0.0183823529411765,5,5,0.06474959926167,0.0714528586000874,0.00670325933841745,0.0709566820801106,0.0593918835866718,-0.0115647984934388,0.0196560196560197,0.0208845208845209,0.417690417690418
"California",5,0.75,19,66,FALSE,FALSE,2841,0.3125,0.294117647058824,-0.0183823529411765,5,5,0.06474959926167,0.0714528586000874,0.00670325933841745,0.0709566820801106,0.0593918835866718,-0.0115647984934388,0.0196560196560197,0.0208845208845209,0.417690417690418
"California",10,0.25,45,127,FALSE,FALSE,2475,0.25,0.282051282051282,0.032051282051282,19,22,0.28848302326711,0.311750133579443,0.023267110312333,0.250454342690791,0.278966416126779,0.0285120734359881,0.0933660933660934,0.0958230958230958,0.958230958230958
"California",10,0.4,41,108,FALSE,FALSE,2884,0.25,0.259259259259259,0.00925925925925924,19,21,0.28848302326711,0.298732209646865,0.0102491863797542,0.250454342690791,0.260627158527564,0.0101728158367733,0.0933660933660934,0.0995085995085995,0.995085995085995
"California",10,0.5,41,121,FALSE,FALSE,4698,0.25,0.25609756097561,0.00609756097560976,19,21,0.28848302326711,0.298732209646865,0.0102491863797542,0.250454342690791,0.260627158527564,0.0101728158367733,0.0933660933660934,0.100737100737101,1.00737100737101
"California",10,0.55,27,105,FALSE,FALSE,6271,0.25,0.269230769230769,0.0192307692307692,19,21,0.28848302326711,0.272696361781707,-0.0157866614854034,0.250454342690791,0.241941930041602,-0.00851241264918923,0.0933660933660934,0.0958230958230958,0.958230958230958
"California",10,0.6,27,116,FALSE,FALSE,8260,0.25,0.269230769230769,0.0192307692307692,19,21,0.28848302326711,0.272696361781707,-0.0157866614854034,0.250454342690791,0.241941930041602,-0.00851241264918923,0.0933660933660934,0.0958230958230958,0.958230958230958
"California",10,0.65,29,118,FALSE,FALSE,9778,0.25,0.265822784810127,0.0158227848101266,19,21,0.28848302326711,0.272696361781707,-0.0157866614854034,0.250454342690791,0.241941930041602,-0.00851241264918923,0.0933660933660934,0.097051597051597,0.97051597051597
"California",10,0.7,26,112,FALSE,FALSE,10321,0.25,0.243243243243243,-0.00675675675675674,19,18,0.28848302326711,0.24787487249235,-0.0406081507747608,0.250454342690791,0.219043946970014,-0.0314103957207771,0.0933660933660934,0.0909090909090909,0.909090909090909
"California",10,0.75,28,131,FALSE,TRUE,12690,0.25,0.223684210526316,-0.0263157894736842,19,17,0.28848302326711,0.260892796424928,-0.027590226842182,0.250454342690791,0.227372180812444,-0.0230821618783473,0.0933660933660934,0.0933660933660934,0.933660933660934
"Colorado",5,0.25,46,116,FALSE,FALSE,1418,0.529411764705882,0.5,-0.0294117647058824,18,19,0.183864915572233,0.188732822879164,0.00486790730693171,0.182104654591939,0.192782513088807,0.0106778584968681,0.0423412204234122,0.0473225404732254,0.946450809464508
