"idx","var","lo","hi","width","rel_width","hh","rule"
44978,"medical_deductions",136,140,4,0.0285714285714286,"1","medical_deductions >= 136 & medical_deductions < 140 & total_deductions_by_hh_size >= 164"
45179,"total_deductions_by_hh_size",294,298,4,0.0134228187919463,"2-3","total_deductions_by_hh_size >= 294 & total_deductions_by_hh_size < 298 & utilities >= 600"
48557,"total_deductions_by_hh_size",424,428,4,0.00934579439252336,"1","shelter_expenses_by_hh_size < 744 & total_deductions_by_hh_size >= 424 & total_deductions_by_hh_size < 428"
49867,"utilities",360,364,4,0.010989010989011,"1","utilities >= 360 & utilities < 364"
50047,"utilities",44,48,4,0.0833333333333333,"1","earned_by_hh_size < 977 & total_deductions_by_hh_size >= 171 & utilities >= 44 & utilities < 48"
51015,"utilities",360,364,4,0.010989010989011,"1","total_deductions_by_hh_size < 272 & utilities >= 360 & utilities < 364"
53013,"total_deductions_by_hh_size",424,428,4,0.00934579439252336,"1","total_deductions_by_hh_size >= 424 & total_deductions_by_hh_size < 428"
53040,"utilities",360,364,4,0.010989010989011,"1","total_deductions_by_hh_size >= 268 & utilities >= 360 & utilities < 364"
55529,"utilities",56,60,4,0.0666666666666667,"1","rawben_rel_max < 0.691 & utilities >= 56 & utilities < 60"
57153,"utilities",360,364,4,0.010989010989011,"1","total_deductions_by_hh_size >= 143 & utilities >= 360 & utilities < 364"
58241,"shelter_expenses_by_hh_size",650,654,4,0.00611620795107034,"1","months_since_cert_n < 26 & shelter_expenses_by_hh_size >= 650 & shelter_expenses_by_hh_size < 654 & total_deductions_by_hh_size < 576"
59474,"earned_by_hh_size",147,151,4,0.0264900662251656,"1","earned_by_hh_size >= 147 & earned_by_hh_size < 151 & gross_by_hh_size < 310 & unc_rawben_rel_max >= 1.01"
60783,"total_deductions_by_hh_size",674,678,4,0.00589970501474926,"1","earned_by_hh_size < 1210 & total_deductions_by_hh_size >= 674 & total_deductions_by_hh_size < 678"
60847,"utilities",44,48,4,0.0833333333333333,"1","earned_by_hh_size < 977 & utilities >= 44 & utilities < 48"
43338,"total_deductions_by_hh_size",7,11.2,4.2,0.375,"2-3","gross_by_hh_size >= 55.5 & HH_size_n < 3 & total_deductions_by_hh_size >= 7 & total_deductions_by_hh_size < 11.2"
6956,"unearned_by_hh_size",18.3,22.7,4.4,0.193832599118943,"4+","earned_by_hh_size > 0.0556 & total_deductions_by_hh_size <= 430 & unearned_by_hh_size > 18.3 & unearned_by_hh_size <= 22.7"
2771,"earned_by_hh_size",0.0714,4.5,4.4286,0.984133333333333,"4+","bbce_state_i >= 1 & earned_by_hh_size > 0.0714 & earned_by_hh_size <= 4.5 & married <= 0"
