"idx","var","lo","hi","width","rel_width","state","rank","rule"
1908,"total_deductions_by_hh_size",407,477,70,0.146750524109015,"New Mexico",22,"total_deductions_by_hh_size >= 407 & total_deductions_by_hh_size < 477"
206,"shelter_expenses_by_hh_size",57.5,138,80.5,0.583333333333333,"Arkansas",80,"expedited_i >= 1 & shelter_expenses_by_hh_size >= 57.5 & shelter_expenses_by_hh_size < 138 & unc_rawben_rel_max < 1"
2841,"shelter_expenses_by_hh_size",60.8,142,81.2,0.571830985915493,"Virginia",34,"earned_by_hh_size > 59.4 & expedited_i <= 0 & shelter_expenses_by_hh_size > 60.8 & shelter_expenses_by_hh_size <= 142"
318,"medical_deductions",156,241,85,0.352697095435685,"Colorado",41,"medical_deductions >= 156 & medical_deductions < 241 & unc_rawben_rel_max >= 1.02 & unc_rawben_rel_max < 1.05"
395,"medical_deductions",156,241,85,0.352697095435685,"Connecticut",40,"medical_deductions >= 156 & medical_deductions < 241 & unc_rawben_rel_max >= 1.02 & unc_rawben_rel_max < 1.05"
1488,"medical_deductions",156,241,85,0.352697095435685,"Montana",37,"medical_deductions >= 156 & medical_deductions < 241 & unc_rawben_rel_max >= 1.02 & unc_rawben_rel_max < 1.05"
2461,"medical_deductions",156,241,85,0.352697095435685,"South Dakota",31,"medical_deductions >= 156 & medical_deductions < 241 & unc_rawben_rel_max >= 1.02 & unc_rawben_rel_max < 1.05"
3075,"medical_deductions",156,241,85,0.352697095435685,"Wisconsin",39,"medical_deductions >= 156 & medical_deductions < 241 & unc_rawben_rel_max >= 1.02 & unc_rawben_rel_max < 1.05"
1035,"total_deductions_by_hh_size",232,320,88,0.275,"Louisiana",48,"months_since_cert_n >= 13 & total_deductions_by_hh_size >= 232 & total_deductions_by_hh_size < 320 & utilities >= 42"
2155,"total_deductions_by_hh_size",232,320,88,0.275,"Ohio",41,"months_since_cert_n >= 13 & total_deductions_by_hh_size >= 232 & total_deductions_by_hh_size < 320 & utilities >= 42"
2774,"total_deductions_by_hh_size",232,320,88,0.275,"Vermont",33,"months_since_cert_n >= 13 & total_deductions_by_hh_size >= 232 & total_deductions_by_hh_size < 320 & utilities >= 42"
942,"earned_by_hh_size",85.7,181,95.3,0.526519337016575,"Kentucky",51,"earned_by_hh_size >= 85.7 & earned_by_hh_size < 181"
33,"medical_deductions",183,282,99,0.351063829787234,"Alabama",33,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42"
253,"medical_deductions",183,282,99,0.351063829787234,"California",37,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42"
619,"medical_deductions",183,282,99,0.351063829787234,"Illinois",37,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42"
1017,"medical_deductions",183,282,99,0.351063829787234,"Louisiana",30,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42"
1236,"medical_deductions",183,282,99,0.351063829787234,"Michigan",28,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42"
1359,"medical_deductions",183,282,99,0.351063829787234,"Mississippi",21,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42"
1400,"medical_deductions",183,282,99,0.351063829787234,"Missouri",30,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42"
1476,"medical_deductions",183,282,99,0.351063829787234,"Montana",25,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42"
1563,"medical_deductions",183,282,99,0.351063829787234,"Nebraska",31,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42"
2318,"medical_deductions",183,282,99,0.351063829787234,"Pennsylvania",31,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42"
2667,"medical_deductions",183,282,99,0.351063829787234,"Utah",25,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42"
2766,"medical_deductions",183,282,99,0.351063829787234,"Vermont",25,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42"
2954,"medical_deductions",183,282,99,0.351063829787234,"West Virginia",17,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42"
3066,"medical_deductions",183,282,99,0.351063829787234,"Wisconsin",30,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42"
182,"earned_by_hh_size",0.167,108,107.833,0.998453703703704,"Arkansas",56,"earned_by_hh_size > 0.167 & earned_by_hh_size <= 108 & rawben_rel_max <= 0.975 & unc_rawben_rel_max > 0.21"
580,"earned_by_hh_size",0.167,108,107.833,0.998453703703704,"Idaho",72,"earned_by_hh_size > 0.167 & earned_by_hh_size <= 108 & rawben_rel_max <= 0.975 & unc_rawben_rel_max > 0.21"
771,"earned_by_hh_size",0.167,108,107.833,0.998453703703704,"Iowa",91,"earned_by_hh_size > 0.167 & earned_by_hh_size <= 108 & rawben_rel_max <= 0.975 & unc_rawben_rel_max > 0.21"
875,"earned_by_hh_size",0.167,108,107.833,0.998453703703704,"Kansas",80,"earned_by_hh_size > 0.167 & earned_by_hh_size <= 108 & rawben_rel_max <= 0.975 & unc_rawben_rel_max > 0.21"
963,"earned_by_hh_size",0.167,108,107.833,0.998453703703704,"Kentucky",72,"earned_by_hh_size > 0.167 & earned_by_hh_size <= 108 & rawben_rel_max <= 0.975 & unc_rawben_rel_max > 0.21"
1723,"earned_by_hh_size",0.167,108,107.833,0.998453703703704,"Nevada",87,"earned_by_hh_size > 0.167 & earned_by_hh_size <= 108 & rawben_rel_max <= 0.975 & unc_rawben_rel_max > 0.21"
