"state","rank","rule","hh","smd_min","smd_max","in_training_smd_range"
"Mississippi",32,"count_divisible_by_100 <= 0.5 & medical_deductions > 613 & total_deductions_by_hh_size > 0.25 & unc_rawben_rel_max <= 1.24","1",0,0,FALSE
"Missouri",11,"count_divisible_by_100 < 2 & medical_deductions >= 311 & rawben_rel_max >= 0.804","2-3",135,135,FALSE
"Missouri",21,"medical_deductions >= 326 & rawben_rel_max >= 0.581","2-3",135,135,FALSE
"Missouri",24,"elderly_disabled_i >= 1 & medical_deductions > 158 & rawben_rel_max > 0.997 & unc_rawben_rel_max <= 1.03","1",135,135,FALSE
"Missouri",26,"medical_deductions >= 582 & shelter_expenses_by_hh_size < 2000 & unc_rawben_rel_max < 1.4 & unearned_by_hh_size < 1580","1",135,135,FALSE
"Missouri",30,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42","2-3",135,135,FALSE
"Missouri",38,"gross_by_hh_size >= 1130 & medical_deductions >= 310 & rawben_rel_max >= 0.972 & utilities < 550","1",135,135,FALSE
"Missouri",48,"medical_deductions >= 145 & rawben_rel_max >= 0.851 & utilities < 714","2-3",135,135,FALSE
"Missouri",56,"count_divisible_by_100 <= 0.5 & medical_deductions > 613 & total_deductions_by_hh_size > 0.25 & unc_rawben_rel_max <= 1.24","1",135,135,FALSE
"Missouri",61,"medical_deductions >= 202 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.2 & unearned_by_hh_size < 1120","1",135,135,FALSE
"Missouri",63,"medical_deductions >= 111 & months_since_cert_n >= 8 & shelter_expenses_by_hh_size >= 548 & total_deductions_by_hh_size >= 403","2-3",135,135,FALSE
"Montana",5,"count_divisible_by_100 < 2 & medical_deductions >= 311 & rawben_rel_max >= 0.804","2-3",0,0,FALSE
"Montana",8,"bbce_state_i >= 1 & medical_deductions > 734 & shelter_expenses_by_hh_size > 18.5 & unc_rawben_rel_max <= 1.28","1",0,0,FALSE
"Montana",9,"medical_deductions >= 173 & rawben_rel_max >= 0.433 & unearned_by_hh_size >= 1210 & utilities < 277","1",0,0,FALSE
"Montana",10,"medical_deductions > 138 & rawben_rel_max > 0.159 & total_deductions_by_hh_size > 515 & unc_rawben_rel_max <= 1","2-3",0,0,FALSE
"Montana",18,"bbce_state_i >= 1 & medical_deductions > 636 & unc_rawben_rel_max > 1.11 & utilities <= 636","1",0,0,FALSE
"Montana",22,"medical_deductions >= 582 & shelter_expenses_by_hh_size < 2000 & unc_rawben_rel_max < 1.4 & unearned_by_hh_size < 1580","1",0,0,FALSE
"Montana",25,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42","2-3",0,0,FALSE
"Montana",37,"medical_deductions >= 156 & medical_deductions < 241 & unc_rawben_rel_max >= 1.02 & unc_rawben_rel_max < 1.05","1",0,0,FALSE
"Montana",57,"homeless <= 0 & medical_deductions > 342 & unc_rawben_rel_max > 1.03 & unc_rawben_rel_max <= 1.15","1",0,0,FALSE
"Nebraska",8,"count_divisible_by_100 < 2 & medical_deductions >= 311 & rawben_rel_max >= 0.804","2-3",0,0,FALSE
"Nebraska",11,"medical_deductions >= 173 & rawben_rel_max >= 0.433 & unearned_by_hh_size >= 1210 & utilities < 277","1",0,0,FALSE
"Nebraska",19,"elderly_disabled_i >= 1 & medical_deductions > 134 & shelter_expenses_by_hh_size > 855 & utilities <= 724","2-3",0,0,FALSE
"Nebraska",31,"gross_by_hh_size >= 116 & medical_deductions >= 183 & medical_deductions < 282 & rawben_rel_max >= 0.42","2-3",0,0,FALSE
"Nebraska",50,"gross_by_hh_size > 1170 & medical_deductions > 134 & rawben_rel_max > 0.203 & unearned_by_hh_size > 432","2-3",0,0,FALSE
"Nebraska",52,"medical_deductions > 124 & total_deductions_by_hh_size > 581","2-3",0,0,FALSE
"Nebraska",62,"medical_deductions > 508 & months_since_cert_n <= 5.5 & percent_abawd <= 0.125","2-3",0,0,FALSE
"Nevada",9,"medical_deductions > 138 & shelter_expenses_by_hh_size > 904 & utilities <= 786","2-3",0,0,FALSE
"Nevada",11,"bbce_state_i >= 1 & medical_deductions > 734 & shelter_expenses_by_hh_size > 18.5 & unc_rawben_rel_max <= 1.28","1",0,0,FALSE
"Nevada",12,"medical_deductions >= 173 & rawben_rel_max >= 0.433 & unearned_by_hh_size >= 1210 & utilities < 277","1",0,0,FALSE
