"gross_by_hh_size","unc_rawben_rel_max","shelter_expenses","n_flagged","workload_pct","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","err_dollars_caught"
600,0.75,2100,132,24.8588,3387,-3255,25.6591,0.2549,0.239,1.0254,121063
600,0.8,2050,149,28.0603,3823,-3674,25.6577,0.2877,0.2972,1.0253,150536
900,0.8,800,67,12.6177,1719,-1652,25.6567,0.1294,0.1225,1.0253,62024
850,0.8,750,58,10.9228,1488,-1430,25.6552,0.112,0.1044,1.0252,52866
50,1.25,1300,29,5.4614,744,-715,25.6552,0.056,0.0616,1.0252,31181
50,1.25,1350,29,5.4614,744,-715,25.6552,0.056,0.0616,1.0252,31181
50,1.25,1400,29,5.4614,744,-715,25.6552,0.056,0.0616,1.0252,31181
600,0.8,1600,136,25.6121,3489,-3353,25.6544,0.2626,0.2724,1.0252,137968
950,0.7,500,26,4.8964,667,-641,25.6538,0.0502,0.0481,1.0251,24342
1000,0.7,500,26,4.8964,667,-641,25.6538,0.0502,0.0481,1.0251,24342
1050,0.7,500,26,4.8964,667,-641,25.6538,0.0502,0.0481,1.0251,24342
750,0.4,1700,43,8.0979,1103,-1060,25.6512,0.083,0.0455,1.025,23047
750,0.4,1750,43,8.0979,1103,-1060,25.6512,0.083,0.0455,1.025,23047
750,0.4,1800,43,8.0979,1103,-1060,25.6512,0.083,0.0455,1.025,23047
950,0.8,750,63,11.8644,1616,-1553,25.6508,0.1216,0.1109,1.025,56150
1000,0.8,750,63,11.8644,1616,-1553,25.6508,0.1216,0.1109,1.025,56150
1050,0.8,750,63,11.8644,1616,-1553,25.6508,0.1216,0.1109,1.025,56150
600,0.7,2500,113,21.2806,2898,-2785,25.646,0.2181,0.2574,1.0248,130346
600,0.7,2550,113,21.2806,2898,-2785,25.646,0.2181,0.2574,1.0248,130346
600,0.7,2600,113,21.2806,2898,-2785,25.646,0.2181,0.2574,1.0248,130346
600,0.7,2650,113,21.2806,2898,-2785,25.646,0.2181,0.2574,1.0248,130346
650,0.8,2200,183,34.4633,4693,-4510,25.6448,0.3532,0.4081,1.0248,206702
650,0.8,1400,137,25.8004,3513,-3376,25.6423,0.2644,0.2444,1.0247,123809
850,0.75,800,58,10.9228,1487,-1429,25.6379,0.1119,0.1084,1.0245,54897
600,0.8,1750,143,26.9303,3666,-3523,25.6364,0.2759,0.2914,1.0245,147586
600,0.8,1800,143,26.9303,3666,-3523,25.6364,0.2759,0.2914,1.0245,147586
600,0.8,1850,143,26.9303,3666,-3523,25.6364,0.2759,0.2914,1.0245,147586
650,0.55,1550,63,11.8644,1615,-1552,25.6349,0.1215,0.0891,1.0244,45130
900,0.8,750,60,11.2994,1538,-1478,25.6333,0.1157,0.1069,1.0243,54136
650,0.8,2150,182,34.275,4665,-4483,25.6319,0.3511,0.4014,1.0243,203286
50,1.3,1750,38,7.1563,974,-936,25.6316,0.0733,0.0713,1.0243,36137
650,0.8,1600,157,29.5669,4024,-3867,25.6306,0.3028,0.3021,1.0242,153016
650,0.8,2250,184,34.6516,4716,-4532,25.6304,0.3549,0.409,1.0242,207139
650,0.8,2300,184,34.6516,4716,-4532,25.6304,0.3549,0.409,1.0242,207139
650,0.8,2350,184,34.6516,4716,-4532,25.6304,0.3549,0.409,1.0242,207139
650,0.8,800,54,10.1695,1384,-1330,25.6296,0.1042,0.1084,1.0242,54911
600,0.8,2600,159,29.9435,4075,-3916,25.6289,0.3067,0.3884,1.0242,196740
600,0.8,2650,159,29.9435,4075,-3916,25.6289,0.3067,0.3884,1.0242,196740
600,0.8,2550,158,29.7552,4049,-3891,25.6266,0.3047,0.3876,1.0241,196324
650,0.8,1750,166,31.2618,4254,-4088,25.6265,0.3201,0.3217,1.0241,162957
600,0.75,2050,131,24.6704,3357,-3226,25.626,0.2526,0.238,1.024,120553
600,0.75,2400,136,25.6121,3485,-3349,25.625,0.2623,0.2941,1.024,148966
600,0.75,2450,136,25.6121,3485,-3349,25.625,0.2623,0.2941,1.024,148966
600,0.7,1500,93,17.5141,2383,-2290,25.6237,0.1793,0.1585,1.0239,80277
650,0.55,1300,53,9.9812,1358,-1305,25.6226,0.1022,0.0812,1.0239,41140
750,0.4,1900,45,8.4746,1153,-1108,25.6222,0.0868,0.0473,1.0239,23957
750,0.4,1950,45,8.4746,1153,-1108,25.6222,0.0868,0.0473,1.0239,23957
650,0.8,1800,168,31.6384,4304,-4136,25.619,0.3239,0.3217,1.0238,162957
650,0.8,1850,168,31.6384,4304,-4136,25.619,0.3239,0.3217,1.0238,162957
600,0.75,1600,120,22.5989,3074,-2954,25.6167,0.2313,0.2132,1.0237,107985
650,0.65,1600,99,18.6441,2536,-2437,25.6162,0.1908,0.1705,1.0236,86332
650,0.8,2100,179,33.71,4585,-4406,25.6145,0.345,0.3351,1.0236,169705
650,0.8,1350,132,24.8588,3381,-3249,25.6136,0.2544,0.2419,1.0235,122521
600,0.75,2500,137,25.8004,3509,-3372,25.6131,0.2641,0.2941,1.0235,148966
600,0.7,1600,98,18.4557,2510,-2412,25.6122,0.1889,0.1779,1.0235,90100
600,0.8,1650,139,26.177,3560,-3421,25.6115,0.2679,0.2798,1.0235,141697
650,0.45,1800,36,6.7797,922,-886,25.6111,0.0694,0.043,1.0234,21797
650,0.45,1850,36,6.7797,922,-886,25.6111,0.0694,0.043,1.0234,21797
650,0.45,1900,36,6.7797,922,-886,25.6111,0.0694,0.043,1.0234,21797
650,0.45,1950,36,6.7797,922,-886,25.6111,0.0694,0.043,1.0234,21797
650,0.75,1400,123,23.1638,3150,-3027,25.6098,0.2371,0.2035,1.0234,103066
50,1.3,2000,41,7.7213,1050,-1009,25.6098,0.079,0.0713,1.0234,36137
100,1.25,2250,41,7.7213,1050,-1009,25.6098,0.079,0.0761,1.0234,38540
100,1.25,2300,41,7.7213,1050,-1009,25.6098,0.079,0.0761,1.0234,38540
100,1.25,2350,41,7.7213,1050,-1009,25.6098,0.079,0.0761,1.0234,38540
100,1.25,2400,41,7.7213,1050,-1009,25.6098,0.079,0.0761,1.0234,38540
100,1.25,2450,41,7.7213,1050,-1009,25.6098,0.079,0.0761,1.0234,38540
100,1.25,2500,41,7.7213,1050,-1009,25.6098,0.079,0.0761,1.0234,38540
100,1.25,2550,41,7.7213,1050,-1009,25.6098,0.079,0.0761,1.0234,38540
100,1.25,2600,41,7.7213,1050,-1009,25.6098,0.079,0.0761,1.0234,38540
100,1.25,2650,41,7.7213,1050,-1009,25.6098,0.079,0.0761,1.0234,38540
850,0.7,500,23,4.3315,589,-566,25.6087,0.0443,0.0441,1.0233,22328
900,0.7,500,23,4.3315,589,-566,25.6087,0.0443,0.0441,1.0233,22328
850,0.75,750,51,9.6045,1306,-1255,25.6078,0.0983,0.0928,1.0233,47009
650,0.55,1400,56,10.5461,1434,-1378,25.6071,0.1079,0.082,1.0233,41524
600,0.55,1950,56,10.5461,1434,-1378,25.6071,0.1079,0.0781,1.0233,39572
600,0.55,2000,56,10.5461,1434,-1378,25.6071,0.1079,0.0781,1.0233,39572
50,1.3,2250,43,8.0979,1101,-1058,25.6047,0.0829,0.0859,1.0232,43496
650,0.8,750,48,9.0395,1229,-1181,25.6042,0.0925,0.099,1.0232,50143
600,0.7,1950,106,19.9623,2714,-2608,25.6038,0.2042,0.1989,1.0231,100717
600,0.7,2000,106,19.9623,2714,-2608,25.6038,0.2042,0.1989,1.0231,100717
600,0.8,1700,141,26.5537,3610,-3469,25.6028,0.2717,0.2857,1.0231,144719
650,0.75,2200,163,30.6968,4173,-4010,25.6012,0.314,0.3241,1.023,164164
650,0.7,800,35,6.5913,896,-861,25.6,0.0674,0.0657,1.023,33277
50,1.3,1000,30,5.6497,768,-738,25.6,0.0578,0.0468,1.023,23681
650,0.75,1050,80,15.0659,2048,-1968,25.6,0.1541,0.1529,1.023,77432
50,1.3,1050,30,5.6497,768,-738,25.6,0.0578,0.0468,1.023,23681
50,1.3,1100,30,5.6497,768,-738,25.6,0.0578,0.0468,1.023,23681
650,0.4,1250,20,3.7665,512,-492,25.6,0.0385,0.0231,1.023,11704
650,0.4,1300,20,3.7665,512,-492,25.6,0.0385,0.0231,1.023,11704
650,0.4,1350,20,3.7665,512,-492,25.6,0.0385,0.0231,1.023,11704
600,0.55,1750,55,10.3578,1408,-1353,25.6,0.106,0.0781,1.023,39572
600,0.55,1800,55,10.3578,1408,-1353,25.6,0.106,0.0781,1.023,39572
600,0.55,1850,55,10.3578,1408,-1353,25.6,0.106,0.0781,1.023,39572
600,0.55,1900,55,10.3578,1408,-1353,25.6,0.106,0.0781,1.023,39572
600,0.9,2350,210,39.548,5376,-5166,25.6,0.4046,0.534,1.023,270461
600,0.75,1750,127,23.9171,3251,-3124,25.5984,0.2447,0.2322,1.0229,117603
600,0.75,1800,127,23.9171,3251,-3124,25.5984,0.2447,0.2322,1.0229,117603
600,0.75,1850,127,23.9171,3251,-3124,25.5984,0.2447,0.2322,1.0229,117603
600,0.75,1900,127,23.9171,3251,-3124,25.5984,0.2447,0.2322,1.0229,117603
650,0.8,1700,164,30.8851,4198,-4034,25.5976,0.3159,0.3161,1.0229,160090
600,0.8,1400,119,22.4105,3046,-2927,25.5966,0.2292,0.2242,1.0229,113535
600,0.55,1600,52,9.7928,1331,-1279,25.5962,0.1002,0.0705,1.0228,35713
600,0.55,1650,52,9.7928,1331,-1279,25.5962,0.1002,0.0705,1.0228,35713
650,0.75,1600,141,26.5537,3609,-3468,25.5957,0.2716,0.2429,1.0228,123033
950,0.7,750,42,7.9096,1075,-1033,25.5952,0.0809,0.0641,1.0228,32469
1000,0.7,750,42,7.9096,1075,-1033,25.5952,0.0809,0.0641,1.0228,32469
1050,0.7,750,42,7.9096,1075,-1033,25.5952,0.0809,0.0641,1.0228,32469
600,0.85,2350,180,33.8983,4607,-4427,25.5944,0.3467,0.4585,1.0228,232228
650,0.8,1650,160,30.1318,4095,-3935,25.5938,0.3082,0.3095,1.0227,156745
650,0.75,1750,150,28.2486,3839,-3689,25.5933,0.2889,0.2625,1.0227,132974
650,0.8,2400,186,35.0282,4760,-4574,25.5914,0.3582,0.4112,1.0227,208278
650,0.8,2450,186,35.0282,4760,-4574,25.5914,0.3582,0.4112,1.0227,208278
600,0.8,1900,144,27.1186,3685,-3541,25.5903,0.2773,0.2914,1.0226,147586
600,0.9,2300,209,39.3597,5348,-5139,25.5885,0.4025,0.534,1.0225,270461
650,0.55,1250,51,9.6045,1305,-1254,25.5882,0.0982,0.0781,1.0225,39574
600,0.7,1750,104,19.5857,2661,-2557,25.5865,0.2003,0.1969,1.0225,99718
600,0.7,1800,104,19.5857,2661,-2557,25.5865,0.2003,0.1969,1.0225,99718
600,0.7,1850,104,19.5857,2661,-2557,25.5865,0.2003,0.1969,1.0225,99718
600,0.7,1900,104,19.5857,2661,-2557,25.5865,0.2003,0.1969,1.0225,99718
600,0.9,2200,208,39.1714,5322,-5114,25.5865,0.4005,0.5255,1.0225,266171
600,0.9,2250,208,39.1714,5322,-5114,25.5865,0.4005,0.5255,1.0225,266171
650,0.75,2150,162,30.5085,4145,-3983,25.5864,0.3119,0.3174,1.0225,160748
650,0.65,2200,116,21.8456,2968,-2852,25.5862,0.2234,0.1991,1.0224,100840
650,0.75,1800,152,28.6252,3889,-3737,25.5855,0.2927,0.2625,1.0224,132974
650,0.75,1850,152,28.6252,3889,-3737,25.5855,0.2927,0.2625,1.0224,132974
