"hh_size","rule_id","optimize_for","min_flagged_req","n_conditions","n_optimized","n_flagged","errors_caught","clean_flagged","workload_pct","precision","recall","dollar_recall","lift","precision_state_orig","precision_national_csv","optimized_rule","original_rule","rule_text","imp","rule"
"2","rule20397","recall",10,4,3,10,3,7,3.25,0.3,0.086,0.1,2.64,0.111,0.32,"elderly_disabled_i %in% c(""FALSE"") & rawben_rel_max < 0.7 & months_since_cert_n >= 0 & months_since_cert_n < 1","elderly_disabled_i %in% c(""FALSE"") & rawben_rel_max < 0.7878 & months_since_cert_n >= 5.5 & months_since_cert_n < 9.5","elderly_disabled_i %in% c(""FALSE"") & rawben_rel_max < 0.7 & months_since_cert_n >= 0 & months_since_cert_n < 1",0,"elderly_disabled_i %in% c(""FALSE"") & rawben_rel_max < 0.7 & months_since_cert_n >= 0 & months_since_cert_n < 1"
"2","rule21841","recall",10,3,3,14,4,10,4.55,0.286,0.114,0.086,2.51,0.333,0.252,"count_divisible_by_100 < 0.5 & total_deductions < 600 & rawearn >= 350","count_divisible_by_100 < 0.5 & total_deductions < 536.9 & rawearn >= 579.5","count_divisible_by_100 < 0.5 & total_deductions < 600 & rawearn >= 350",0,"count_divisible_by_100 < 0.5 & total_deductions < 600 & rawearn >= 350"
"2","rule5789","recall",10,3,3,14,4,10,4.55,0.286,0.114,0.119,2.51,0.429,0.259,"unc_rawben_rel_max >= -0.55 & months_since_cert_n >= 6 & utilities < 150","unc_rawben_rel_max >= 1.487 & months_since_cert_n >= 1.5 & utilities < 660.5","unc_rawben_rel_max >= -0.55 & months_since_cert_n >= 6 & utilities < 150",0,"unc_rawben_rel_max >= -0.55 & months_since_cert_n >= 6 & utilities < 150"
"2","rule2129","recall",10,3,2,22,6,16,7.14,0.273,0.171,0.172,2.4,0.222,0.242,"rawgross >= 1750 & rawgross < 2300 & children_i %in% c(""TRUE"")","rawgross >= 1614 & rawgross < 2106 & children_i %in% c(""TRUE"")","rawgross >= 1750 & rawgross < 2300 & children_i %in% c(""TRUE"")",0,"rawgross >= 1750 & rawgross < 2300 & children_i %in% c(""TRUE"")"
"2","rule8840","recall",10,4,3,11,3,8,3.57,0.273,0.086,0.1,2.4,0.114,0.29,"months_since_cert_n >= 0 & months_since_cert_n < 2 & unc_rawben_rel_max < 0.65 & elderly_disabled_i %in% c(""FALSE"")","months_since_cert_n >= 4.5 & months_since_cert_n < 11.5 & unc_rawben_rel_max < 0.8583 & elderly_disabled_i %in% c(""FALSE"")","months_since_cert_n >= 0 & months_since_cert_n < 2 & unc_rawben_rel_max < 0.65 & elderly_disabled_i %in% c(""FALSE"")",0,"months_since_cert_n >= 0 & months_since_cert_n < 2 & unc_rawben_rel_max < 0.65 & elderly_disabled_i %in% c(""FALSE"")"
"2","rule2887","recall",10,4,4,52,14,38,16.88,0.269,0.4,0.379,2.37,0.667,0.302,"utilities < 600 & unc_rawben_rel_max < 1 & shelter_expenses >= 300 & rawearn >= 0","utilities < 611 & unc_rawben_rel_max < 1.326 & shelter_expenses >= 1526 & rawearn >= 1132","utilities < 600 & unc_rawben_rel_max < 1 & shelter_expenses >= 300 & rawearn >= 0",0,"utilities < 600 & unc_rawben_rel_max < 1 & shelter_expenses >= 300 & rawearn >= 0"
"2","rule545","recall",10,4,4,15,4,11,4.87,0.267,0.114,0.148,2.35,NA,0.27,"rawearn < 481.5 & unc_rawben_rel_max >= -0.55 & utilities < 175 & utilities >= 12.5","rawearn < 481.5 & unc_rawben_rel_max >= 1.301 & utilities < 339.5 & utilities >= 12.5","rawearn < 481.5 & unc_rawben_rel_max >= -0.55 & utilities < 175 & utilities >= 12.5",0,"rawearn < 481.5 & unc_rawben_rel_max >= -0.55 & utilities < 175 & utilities >= 12.5"
"2","rule9311","recall",10,4,4,15,4,11,4.87,0.267,0.114,0.116,2.35,0.095,0.235,"months_since_cert_n >= 0 & rawgross < 2482 & rawearn >= 1850 & utilities >= 0","months_since_cert_n >= 1.5 & rawgross < 2482 & rawearn >= 1346 & utilities >= 420.5","months_since_cert_n >= 0 & rawgross < 2482 & rawearn >= 1850 & utilities >= 0",0,"months_since_cert_n >= 0 & rawgross < 2482 & rawearn >= 1850 & utilities >= 0"
"2","rule2748","recall",10,4,4,53,14,39,17.21,0.264,0.4,0.326,2.32,0.167,0.243,"rawunearn < 2200 & months_since_cert_n >= 0 & rawben_rel_max >= 0.25 & rawben_rel_max < 0.6212","rawunearn < 802.5 & months_since_cert_n >= 3.5 & rawben_rel_max >= 0.3168 & rawben_rel_max < 0.6212","rawunearn < 2200 & months_since_cert_n >= 0 & rawben_rel_max >= 0.25 & rawben_rel_max < 0.6212",0,"rawunearn < 2200 & months_since_cert_n >= 0 & rawben_rel_max >= 0.25 & rawben_rel_max < 0.6212"
"2","rule10617","recall",10,4,3,19,5,14,6.17,0.263,0.143,0.175,2.32,0.13,0.244,"unc_rawben_rel_max >= 0.1 & utilities < 600 & married < 0.5 & total_deductions >= 600","unc_rawben_rel_max >= 1.437 & utilities < 691.5 & married < 0.5 & total_deductions >= 612.5","unc_rawben_rel_max >= 0.1 & utilities < 600 & married < 0.5 & total_deductions >= 600",0,"unc_rawben_rel_max >= 0.1 & utilities < 600 & married < 0.5 & total_deductions >= 600"
