hh_size,rule_id,min_flagged_req,n_conditions,n_optimized,n_flagged,errors_caught,clean_flagged,workload_pct,precision,recall,dollar_recall,lift,precision_state_orig,precision_national_csv,optimized_rule (state),original_rule (national)
2-3,rule1656,10,3,3,10,3,7,2.14,0.3,0.075,0.066,3.51,NA,0.289,rawearn >= 300 & unc_rawben_rel_max < 0.993 & rawearn < 800,rawearn >= 3 & unc_rawben_rel_max < 0.993 & rawearn < 198
2-3,rule2867,10,3,3,10,3,7,2.14,0.3,0.075,0.031,3.51,0.333,0.226,shelter_expenses < 1000 & unc_rawben_rel_max >= -0.05 & rawunearn >= 1550,shelter_expenses < 2270 & unc_rawben_rel_max >= 0.1512 & rawunearn >= 2033
2-3,rule9173,10,3,2,10,3,7,2.14,0.3,0.075,0.061,3.51,0.136,0.21,"rawben_rel_max < 0.45 & elderly_disabled_i %in% c(""FALSE"") & rawearn < 1750","rawben_rel_max < 0.9164 & elderly_disabled_i %in% c(""FALSE"") & rawearn < 1375"
2-3,rule1627,10,3,3,10,3,7,2.14,0.3,0.075,0.129,3.51,NA,0.32,rawearn >= 1450 & rawgross < 1900 & utilities >= 475,rawearn >= 733 & rawgross < 2314 & utilities >= 902
4+,rule771,10,3,3,10,4,6,4.81,0.4,0.2,0.104,4.16,0.333,0.233,rawunearn >= 800 & rawben_rel_max >= 0.7 & total_deductions < 450,rawunearn >= 1024 & rawben_rel_max >= 0.7506 & total_deductions < 597.5
4+,rule556,10,3,3,10,4,6,4.81,0.4,0.2,0.311,4.16,0.25,0.246,total_deductions >= 600 & rawgross < 210 & shelter_expenses >= 1150,total_deductions >= 668.9 & rawgross < 210 & shelter_expenses >= 1652
4+,rule5632,10,3,3,13,5,8,6.25,0.385,0.25,0.122,4,0,0.255,rawunearn >= 800 & rawben_rel_max >= 0.7 & rawben_rel_max < 0.85,rawunearn >= 1294 & rawben_rel_max >= 0.5735 & rawben_rel_max < 0.6296
4+,rule515,10,4,4,14,5,9,6.73,0.357,0.25,0.173,3.71,0.25,0.252,rawearn >= 0 & rawgross < 1950 & rawben_rel_max < 0.85 & shelter_expenses >= 700,rawearn >= 121 & rawgross < 1892 & rawben_rel_max < 0.9931 & shelter_expenses >= 1687
4+,rule2909,10,3,3,14,5,9,6.73,0.357,0.25,0.118,3.71,0.286,0.235,unc_rawben_rel_max < 0.9 & rawunearn >= 800 & rawunearn < 1250,unc_rawben_rel_max < 1.372 & rawunearn >= 1266 & rawunearn < 1342
4+,rule239,10,3,3,12,4,8,5.77,0.333,0.2,0.295,3.47,NA,0.313,rawearn >= 3300 & total_deductions < 1300 & rawgross < 4100,rawearn >= 774 & total_deductions < 274.5 & rawgross < 1165
4+,rule5497,10,3,3,12,4,8,5.77,0.333,0.2,0.093,3.47,0,0.206,rawgross >= 1200 & rawunearn >= 800 & rawunearn < 1350,rawgross >= 1304 & rawunearn >= 138 & rawunearn < 253.5
4+,rule804,10,3,3,12,4,8,5.77,0.333,0.2,0.092,3.47,NA,0.21,rawunearn >= 800 & rawben_rel_max >= 0.75 & utilities < 475,rawunearn >= 964.5 & rawben_rel_max >= 0.7151 & utilities < 424
4+,rule591,10,3,3,12,4,8,5.77,0.333,0.2,0.079,3.47,0,0.273,rawunearn >= 800 & months_since_cert_n >= 6 & months_since_cert_n < 9.5,rawunearn >= 1599 & months_since_cert_n >= 6.5 & months_since_cert_n < 9.5
4+,rule1627,10,3,3,16,5,11,7.69,0.312,0.25,0.148,3.25,0.167,0.211,count_divisible_by_100 >= 0.5 & rawunearn < 1350 & unc_rawben_rel_max < 0.95,count_divisible_by_100 >= 0.5 & rawunearn < 93 & unc_rawben_rel_max < 1.063
4+,rule5789,10,3,3,10,3,7,4.81,0.3,0.15,0.135,3.12,0.25,0.21,months_since_cert_n >= 7 & shelter_expenses >= 0 & months_since_cert_n < 7.5,months_since_cert_n >= 5.5 & shelter_expenses >= 1546 & months_since_cert_n < 7.5
4+,rule136,10,3,3,10,3,7,4.81,0.3,0.15,0.059,3.12,0,0.237,rawearn >= 3100 & total_deductions < 1000 & total_deductions >= 700,rawearn >= 451 & total_deductions < 352.4 & total_deductions >= 298.5
4+,rule4048,10,3,3,10,3,7,4.81,0.3,0.15,0.108,3.12,0,0.255,rawben_rel_max < 0.45 & shelter_expenses < 2000 & shelter_expenses >= 1550,rawben_rel_max < 0.9359 & shelter_expenses < 713 & shelter_expenses >= 675.5
4+,rule382,10,4,4,10,3,7,4.81,0.3,0.15,0.264,3.12,0,0.355,rawearn >= 3300 & rawben_rel_max >= 0.3 & months_since_cert_n >= 0 & shelter_expenses >= 700,rawearn >= 1044 & rawben_rel_max >= 0.7618 & months_since_cert_n >= 6.5 & shelter_expenses >= 1585
4+,rule454,10,3,3,10,3,7,4.81,0.3,0.15,0.186,3.12,0,0.212,total_deductions >= 600 & months_since_cert_n >= 4 & rawgross < 250,total_deductions >= 939.9 & months_since_cert_n >= 6.5 & rawgross < 1926
4+,rule3486,10,3,3,10,3,7,4.81,0.3,0.15,0.059,3.12,0,0.3,rawunearn >= 1100 & rawgross < 1950 & months_since_cert_n >= 2.5,rawunearn >= 2100 & rawgross < 2698 & months_since_cert_n >= 2.5
