"hh","rule","n_flagged_train","precision_train","precision_train_lcb"
"1","elderly_disabled_i >=   1.00 & rawben_rel_max >=   0.50 & shelter_expenses_by_hh_size >= 497.00 & unc_rawben_rel_max >=   1.73",778,0.2108,0.1788
"1","months_since_cert_n >=  8.00 & months_since_cert_n < 22.00 & unc_rawben_rel_max >=  1.76",585,0.1419,0.1116
"1","months_since_cert_n >=  8.00 & months_since_cert_n < 22.00 & unc_rawben_rel_max >=  1.76 & unc_rawben_rel_max <  2.49",531,0.1186,0.0898
"1","months_since_cert_n >=  8.00 & months_since_cert_n < 22.00 & unc_rawben_rel_max >=  2.49",54,0.3704,0.236
"1","shelter_expenses_by_hh_size < 1760.00 & unc_rawben_rel_max >=    1.63",2829,0.0693,0.059
"1","elderly_disabled_i >=    1.00 & shelter_expenses_by_hh_size < 1760.00 & unc_rawben_rel_max >=    1.63",819,0.2137,0.1823
"1","elderly_disabled_i >=    1.00 & shelter_expenses_by_hh_size < 1760.00 & total_deductions_by_hh_size <  675.00 & unc_rawben_rel_max >=    1.63",183,0.3279,0.2531
"1","elderly_disabled_i >=    1.00 & shelter_expenses_by_hh_size < 1760.00 & total_deductions_by_hh_size >=  675.00 & unc_rawben_rel_max >=    1.63",636,0.1808,0.1481
"1","count_divisible_by_100 >= 1.00 & unc_rawben_rel_max >= 1.73",123,0.1301,0.0749
"1","count_divisible_by_100 < 1.00 & months_since_cert_n >= 5.00 & unc_rawben_rel_max >= 1.73",1123,0.1104,0.0905
"1","count_divisible_by_100 >=  1.00 & months_since_cert_n >= 10.00 & unc_rawben_rel_max >=  1.73",34,0.1471,0.0556
"1","count_divisible_by_100 <    1.00 & months_since_cert_n <    5.00 & shelter_expenses_by_hh_size >= 1510.00 & unc_rawben_rel_max >=    1.73",197,0.0609,0.0318
"1","count_divisible_by_100 <    1.00 & months_since_cert_n >=    5.00 & shelter_expenses_by_hh_size < 1170.00 & unc_rawben_rel_max >=    1.73",791,0.1315,0.106
"1","count_divisible_by_100 <    1.00 & months_since_cert_n >=    5.00 & shelter_expenses_by_hh_size >= 1170.00 & unc_rawben_rel_max >=    1.73",332,0.0602,0.0363
"1","count_divisible_by_100 <   1.00 & shelter_expenses_by_hh_size >= 248.00 & unc_rawben_rel_max >=   1.88",1289,0.1086,0.0901
"1","unc_rawben_rel_max >=   1.24 & utilities < 456.00",2498,0.0657,0.055
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.24 & utilities < 456.00",569,0.2478,0.2082
"1","count_divisible_by_100 >=   1.000 & shelter_expenses_by_hh_size >= 815.000 & unc_rawben_rel_max >=   0.488 & unc_rawben_rel_max <   1.240",279,0.0645,0.0379
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 752.00 & unc_rawben_rel_max >=   1.24 & utilities < 456.00",345,0.2841,0.2313
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size >= 752.00 & unc_rawben_rel_max >=   1.24 & utilities < 456.00",224,0.192,0.1383
