"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"elderly_disabled_i >   0.500 & shelter_expenses_by_hh_size > 296.000 & total_deductions_by_hh_size > 434.000 & unc_rawben_rel_max <=   0.996","2-3","national","ranger","any_error",743,0.3109,0.2729,53.79,7,4,123,"buffer"
"married >=   0.5 & total_deductions_by_hh_size >= 232.0 & total_deductions_by_hh_size < 236.0","4+","national","xgboost","any_error",53,0.4151,0.2728,115.13,1,1,124,"buffer"
"HH_size_n >   2.500 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 333.000 & unc_rawben_rel_max >   0.637","2-3","national","ranger","any_error",411,0.3236,0.2725,60.34,4,4,125,"buffer"
"count_divisible_by_100 >=   0.50 & shelter_expenses_by_hh_size >= 616.00 & total_deductions_by_hh_size >=   9.50 & unc_rawben_rel_max >=   1.35","2-3","national","xgboost","any_error",36,0.4444,0.2719,126.44,1,1,126,"buffer"
"children_i <=   0.500 & percent_abawd >   0.167 & total_deductions_by_hh_size > 524.000 & utilities <= 869.000","2-3","national","ranger","any_error",71,0.3944,0.2716,78.44,1,1,127,"buffer"
"cat_elig >   0.50 & medical_deductions <= 620.00 & months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.96","1","national","ranger","any_error",511,0.317,0.2713,55.66,2,1,128,"buffer"
"cat_elig >   0.500 & months_since_cert_n <=   5.500 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 519.000","2-3","national","ranger","any_error",631,0.3106,0.2695,59.87,2,1,129,"buffer"
"months_since_cert_n <=    5.500 & shelter_expenses_by_hh_size > 1260.000 & unc_rawben_rel_max >    0.956 & unc_rawben_rel_max <=    1.000","1","national","ranger","any_error",134,0.3582,0.2691,63.33,5,3,130,"buffer"
"expedited_i > 0.500 & months_since_cert_n <= 1.500 & rawben_rel_max <= 0.904","2-3","national","ranger","any_error",147,0.3537,0.2687,65.55,3,3,131,"buffer"
"HH_size_n >=   4.5 & shelter_expenses_by_hh_size < 404.0 & total_deductions_by_hh_size >= 148.0 & total_deductions_by_hh_size < 150.0","4+","national","xgboost","any_error",48,0.4167,0.268,95.75,1,1,132,"buffer"
"elderly_disabled_i <= 0.500 & expedited_i > 0.500 & rawben_rel_max <= 0.997 & unc_rawben_rel_max <= 0.537","1","national","ranger","any_error",180,0.3444,0.2677,66.67,3,2,133,"buffer"
"elderly_disabled_i >= 0.500 & rawben_rel_max >= 0.980 & rawben_rel_max < 0.998 & unc_rawben_rel_max < 1.060","4+","national","xgboost","any_error",72,0.3889,0.2675,84.69,6,4,134,"buffer"
"months_since_cert_n >=   9.500 & rawben_rel_max >=   0.942 & unc_rawben_rel_max >=   1.490 & utilities >= 300.000","2-3","national","xgboost","any_error",100,0.37,0.2671,115.3,3,2,135,"buffer"
"rawben_rel_max >= 0.365 & rawben_rel_max < 0.367","4+","national","xgboost","any_error",31,0.4516,0.2668,89,1,1,136,"buffer"
"expedited_i >   0.500 & HH_size_n >   4.500 & rawben_rel_max <=   0.968 & utilities > 368.000","4+","national","ranger","any_error",145,0.3517,0.2663,91.41,1,1,137,"buffer"
