"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"count_divisible_by_100 <   0.5 & months_since_cert_n <  19.5 & total_deductions_by_hh_size >= 688.0 & utilities < 578.0","2-3","national","xgboost","any_error",162,0.4136,0.3278,98.6,4,2,63,"core"
"elderly_disabled_i >=   0.500 & rawben_rel_max <   0.996 & total_deductions_by_hh_size >= 444.000 & utilities < 436.000","2-3","national","xgboost","any_error",109,0.4312,0.3267,77.86,1,1,64,"core"
"expedited_i <= 0.50 & unc_rawben_rel_max > 1.39","4+","national","ranger","any_error",33,0.5152,0.3254,146.21,2,1,65,"core"
"rawben_rel_max <   0.841 & shelter_expenses_by_hh_size >= 543.000 & total_deductions_by_hh_size >= 453.000 & utilities < 362.000","2-3","national","xgboost","any_error",99,0.4343,0.3249,96.66,2,2,66,"core"
"rawben_rel_max <   0.747 & shelter_expenses_by_hh_size < 456.000 & total_deductions_by_hh_size >= 315.000 & total_deductions_by_hh_size < 351.000","4+","national","xgboost","any_error",68,0.4559,0.3239,74.57,4,3,67,"core"
"expedited_i <= 0.500 & HH_size_n > 4.500 & months_since_cert_n > 5.500 & percent_abawd > 0.268","4+","national","ranger","any_error",58,0.4655,0.3227,153.29,2,2,68,"core"
"months_since_cert_n >=   5.50 & total_deductions_by_hh_size >= 260.00 & unc_rawben_rel_max >=   1.53 & utilities < 276.00","1","national","xgboost","any_error",192,0.401,0.3226,81.47,4,2,69,"core"
"cat_elig >   0.5 & HH_size_n >   5.5 & shelter_expenses_by_hh_size <= 310.0 & total_deductions_by_hh_size > 183.0","4+","national","ranger","any_error",160,0.4062,0.3204,105.61,10,5,70,"core"
"rawben_rel_max <   0.991 & total_deductions_by_hh_size >= 848.000 & utilities < 340.000","1","national","xgboost","any_error",191,0.3979,0.3194,72.05,6,4,71,"core"
"HH_size_n >= 5.500 & months_since_cert_n < 2.500 & percent_abawd >= 0.118 & rawben_rel_max < 0.947","4+","national","xgboost","any_error",36,0.5,0.3193,117.56,2,2,72,"core"
"months_since_cert_n >=   8.500 & rawben_rel_max >=   0.701 & total_deductions_by_hh_size >= 634.000 & utilities < 343.000","1","national","xgboost","any_error",225,0.3867,0.3147,67.97,1,1,73,"core"
"expedited_i > 0.500 & HH_size_n <= 4.500 & months_since_cert_n > 9.500 & rawben_rel_max <= 0.998","4+","national","ranger","any_error",34,0.5,0.3147,118.21,2,1,74,"core"
