"rule","hh","source","n_flagged_train","precision_train","precision_train_lcb","rank","role"
"rawben_rel_max <   0.96 & shelter_expenses_by_hh_size >= 108.00 & total_deductions_by_hh_size < 203.00","4+","state",74,0.473,0.3445,104,"buffer"
"homeless <=   0.50 & months_since_cert_n <=   4.50 & shelter_expenses_by_hh_size <= 271.00 & unc_rawben_rel_max <=   1.02","4+","state",62,0.4839,0.3436,105,"buffer"
"months_since_cert_n >   1.5 & months_since_cert_n <=   4.5 & total_deductions_by_hh_size <= 277.0","4+","state",72,0.4722,0.3422,106,"buffer"
"elderly_disabled_i >   0.500 & shelter_expenses_by_hh_size > 955.000 & unc_rawben_rel_max <=   0.997","2-3","national",222,0.4144,0.3404,107,"buffer"
"months_since_cert_n >=   4 & months_since_cert_n <   7 & shelter_expenses_by_hh_size >= 172 & total_deductions_by_hh_size >= 256","2-3","state",34,0.5294,0.3404,108,"buffer"
"rawben_rel_max >   0.588 & rawben_rel_max <=   0.866 & total_deductions_by_hh_size > 281.000","2-3","state",34,0.5294,0.3404,109,"buffer"
"rawben_rel_max <   0.923 & total_deductions_by_hh_size >=  45.800 & total_deductions_by_hh_size < 252.000","4+","state",95,0.4526,0.3396,110,"buffer"
"cat_elig <=  1.5 & total_deductions_by_hh_size > 65.6 & unc_rawben_rel_max <=  1.0","4+","state",75,0.4667,0.3395,111,"buffer"
"rawben_rel_max <    1 & total_deductions_by_hh_size >= 1330 & utilities <  703","1","national",118,0.4407,0.3393,112,"buffer"
"months_since_cert_n >   3.5 & months_since_cert_n <=  10.5 & total_deductions_by_hh_size > 303.0","2-3","state",58,0.4828,0.3383,113,"buffer"
"married <  1.000 & rawben_rel_max >=  0.614 & rawben_rel_max <  0.962 & total_deductions_by_hh_size >= 97.000","2-3","state",63,0.4762,0.3376,114,"buffer"
"elderly_disabled_i < 1.000 & rawben_rel_max >= 0.486 & rawben_rel_max < 0.777","2-3","state",63,0.4762,0.3376,115,"buffer"
"children_i >   0.500 & months_since_cert_n <=   5.500 & shelter_expenses_by_hh_size <= 387.000 & unc_rawben_rel_max <=   0.582","1","national",32,0.5312,0.3369,116,"buffer"
"count_divisible_by_100 <=   0.500 & shelter_expenses_by_hh_size > 674.000 & unc_rawben_rel_max >   0.634","2-3","state",32,0.5312,0.3369,117,"buffer"
"count_divisible_by_100 <=   1.000 & shelter_expenses_by_hh_size > 709.000 & total_deductions_by_hh_size <= 524.000 & unc_rawben_rel_max >   0.194","2-3","state",32,0.5312,0.3369,118,"buffer"
"percent_abawd <  0.500 & rawben_rel_max >=  0.624 & rawben_rel_max <  0.906 & total_deductions_by_hh_size >= 47.900","2-3","state",66,0.4697,0.3346,119,"buffer"
"shelter_expenses_by_hh_size < 369.0 & total_deductions_by_hh_size >=  65.5 & total_deductions_by_hh_size < 119.0","4+","state",44,0.5,0.3345,120,"buffer"
"children_i <=   0.500 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 504.000 & utilities <=  14.500","1","national",415,0.388,0.3341,121,"buffer"
"rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & unc_rawben_rel_max <   1.870 & utilities < 645.000","1","national",513,0.3821,0.3336,122,"buffer"
"elderly_disabled_i <=   0.5 & months_since_cert_n >   3.5 & shelter_expenses_by_hh_size > 440.0 & total_deductions_by_hh_size > 154.0","2-3","state",54,0.4815,0.3324,123,"buffer"
"married < 1.000 & rawben_rel_max >= 0.647 & rawben_rel_max < 0.974","4+","state",64,0.4688,0.3318,124,"buffer"
"count_divisible_by_100 <   2.000 & rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 954.000 & utilities <  52.000","1","national",277,0.3971,0.3313,125,"buffer"
"medical_deductions > 227.000 & percent_abawd <=   0.250 & unc_rawben_rel_max >   0.823 & unc_rawben_rel_max <=   0.991","1","national",137,0.4234,0.3299,126,"buffer"
"medical_deductions <= 132.0 & months_since_cert_n >   3.5 & shelter_expenses_by_hh_size > 440.0 & total_deductions_by_hh_size > 186.0","2-3","state",77,0.4545,0.3299,127,"buffer"
"expedited_i <=   0.50 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.95 & utilities <= 680.00","1","national",221,0.4027,0.3292,128,"buffer"
"months_since_cert_n >   3.50 & unc_rawben_rel_max >   1.97 & utilities <= 622.00","1","national",324,0.3889,0.3282,129,"buffer"
"elderly_disabled_i <=   0.5 & shelter_expenses_by_hh_size > 381.0 & utilities <= 468.0","2-3","state",40,0.5,0.3274,130,"buffer"
"months_since_cert_n <=   5.500 & percent_abawd <=   0.208 & shelter_expenses_by_hh_size <= 485.000 & unc_rawben_rel_max <=   1.200","4+","state",120,0.425,0.3255,131,"buffer"
"months_since_cert_n >  10.5 & total_deductions_by_hh_size > 424.0 & utilities <=  29.5","1","national",205,0.4,0.324,132,"buffer"
"percent_abawd <=   0.225 & total_deductions_by_hh_size >  53.200 & total_deductions_by_hh_size <= 184.000","4+","state",113,0.4248,0.3225,133,"buffer"
"cat_elig <=   1.50 & elderly_disabled_i <=   0.50 & rawben_rel_max <=   0.88 & shelter_expenses_by_hh_size > 378.00","2-3","state",48,0.4792,0.3223,134,"buffer"
