"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","n_flagged_state","n_new_at_rank","rank","role"
"months_since_cert_n >   8.500 & rawben_rel_max >   0.507 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 228.000","4+","national","ranger","any_error",563,0.3588,0.3133,26,1,119,"buffer"
"cat_elig <    2.00 & rawben_rel_max <    0.99 & shelter_expenses_by_hh_size >= 2100.00","1","national","xgboost","any_error",97,0.4227,0.3132,1,1,120,"buffer"
"rawben_rel_max <   0.996 & shelter_expenses_by_hh_size >= 928.000 & unc_rawben_rel_max <   1.340 & utilities < 672.000","2-3","national","xgboost","any_error",232,0.3836,0.3128,12,3,121,"buffer"
"HH_size_n >=   5.00 & shelter_expenses_by_hh_size < 356.00 & total_deductions_by_hh_size >= 240.00 & unc_rawben_rel_max <   1.09","4+","national","xgboost","any_error",153,0.3987,0.3116,7,1,122,"buffer"
"married >   0.500 & months_since_cert_n >   4.500 & rawben_rel_max >   0.289 & total_deductions_by_hh_size > 316.000","4+","national","ranger","any_error",76,0.4342,0.3107,1,1,123,"buffer"
"elderly_disabled_i <= 0.500 & expedited_i > 0.500 & months_since_cert_n <= 0.500 & unc_rawben_rel_max <= 0.908","2-3","national","ranger","any_error",42,0.4762,0.3102,3,3,124,"buffer"
"HH_size_n >   4.500 & shelter_expenses_by_hh_size <= 336.000 & unc_rawben_rel_max >   0.584 & unc_rawben_rel_max <=   0.886","4+","state","ranger","any_error",42,0.4762,0.3102,42,5,125,"buffer"
"expedited_i >   0.500 & months_since_cert_n >   7.500 & total_deductions_by_hh_size > 167.000 & unc_rawben_rel_max <=   0.997","4+","national","ranger","any_error",42,0.4762,0.3102,1,1,126,"buffer"
"total_deductions_by_hh_size > 468.00 & unc_rawben_rel_max <=   0.78 & utilities <= 578.00","2-3","national","ranger","any_error",623,0.3531,0.31,3,1,127,"buffer"
"HH_size_n >   4.500 & rawben_rel_max <=   0.886 & total_deductions_by_hh_size <= 116.000","4+","state","ranger","any_error",32,0.5,0.3099,32,2,128,"buffer"
"HH_size_n >  4.5 & months_since_cert_n > 23.5","4+","national","ranger","any_error",32,0.5,0.3099,9,2,129,"buffer"
"rawben_rel_max >=   0.975 & shelter_expenses_by_hh_size < 694.000 & total_deductions_by_hh_size >= 300.000 & unc_rawben_rel_max >=   1.490","2-3","national","xgboost","any_error",200,0.385,0.309,15,1,130,"buffer"
"shelter_expenses_by_hh_size <= 718 & total_deductions_by_hh_size > 615","2-3","national","ranger","any_error",226,0.3805,0.309,8,1,131,"buffer"
"HH_size_n <=   2.500 & medical_deductions > 194.000 & rawben_rel_max >   0.155","2-3","national","ranger","any_error",244,0.377,0.3083,2,1,132,"buffer"
"HH_size_n > 4.500 & months_since_cert_n > 8.500 & rawben_rel_max <= 0.976 & unc_rawben_rel_max > 0.678","4+","national","ranger","any_error",392,0.3622,0.308,15,1,133,"buffer"
"rawben_rel_max <   0.996 & shelter_expenses_by_hh_size < 590.000 & total_deductions_by_hh_size >= 518.000","2-3","national","xgboost","any_error",181,0.3867,0.307,11,1,134,"buffer"
"count_divisible_by_100 <   1.00 & elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.24 & utilities < 385.00","1","national","xgboost","any_error",511,0.3542,0.3068,9,1,135,"buffer"
"count_divisible_by_100 <   1.000 & shelter_expenses_by_hh_size >= 731.000 & total_deductions_by_hh_size >= 372.000 & unc_rawben_rel_max <  -0.203","2-3","national","xgboost","any_error",45,0.4667,0.3068,4,1,136,"buffer"
"HH_size_n >   2.500 & total_deductions_by_hh_size > 522.000 & unc_rawben_rel_max <=   0.997 & utilities >  57.000","2-3","national","ranger","any_error",130,0.4,0.306,5,1,137,"buffer"
"unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <  -0.00344 & utilities >= 284.00000","1","national","xgboost","any_error",102,0.4118,0.3057,3,1,138,"buffer"
"count_divisible_by_100 <   1 & HH_size_n >=   5 & months_since_cert_n <   8 & total_deductions_by_hh_size < 119","4+","state","xgboost","any_error",35,0.4857,0.3047,35,15,139,"buffer"
"children_i <=   0.500 & shelter_expenses_by_hh_size > 869.000 & unc_rawben_rel_max <=   0.998","2-3","national","ranger","any_error",373,0.3592,0.3039,7,1,140,"buffer"
"rawben_rel_max <   0.971 & utilities >= 797.000 & utilities < 819.000","2-3","national","xgboost","any_error",128,0.3984,0.3039,6,2,141,"buffer"
"shelter_expenses_by_hh_size > 158.000 & unc_rawben_rel_max >   0.996 & unc_rawben_rel_max <=   0.998","4+","national","ranger","any_error",48,0.4583,0.3039,1,1,142,"buffer"
"HH_size_n >=   6.000 & months_since_cert_n >=   2.000 & total_deductions_by_hh_size >= 183.000 & unc_rawben_rel_max <   0.528","4+","national","xgboost","any_error",131,0.3969,0.3035,4,2,143,"buffer"
"count_divisible_by_100 <= 0.50 & HH_size_n > 4.50 & married <= 0.50 & rawben_rel_max <= 0.88","4+","state","ranger","any_error",56,0.4464,0.3035,56,4,144,"buffer"
