"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"HH_size_n >= 5.500 & months_since_cert_n < 2.500 & percent_abawd >= 0.118 & rawben_rel_max < 0.947","4+","national","xgboost","any_error",36,0.5,0.3193,117.56,9,3,102,"buffer"
"HH_size_n >   2.500 & percent_abawd <=   0.417 & rawben_rel_max <=   0.732 & total_deductions_by_hh_size > 186.000","2-3","state","ranger","any_error",51,0.4706,0.3188,67.24,51,8,103,"buffer"
"medical_deductions <= 104.000 & months_since_cert_n >   5.500 & months_since_cert_n <=   9.500 & rawben_rel_max <=   0.982","4+","state","ranger","any_error",67,0.4478,0.3157,98.09,67,2,104,"buffer"
"months_since_cert_n >  5.5 & months_since_cert_n <=  9.5 & utilities > 26.0","4+","state","ranger","any_error",67,0.4478,0.3157,100.75,67,1,105,"buffer"
"months_since_cert_n >=   8.500 & rawben_rel_max >=   0.701 & total_deductions_by_hh_size >= 634.000 & utilities < 343.000","1","national","xgboost","any_error",225,0.3867,0.3147,67.97,12,6,106,"buffer"
"medical_deductions > 194.000 & rawben_rel_max >   0.150 & rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size > 471.000","2-3","national","ranger","any_error",146,0.4041,0.3147,49.49,7,1,107,"buffer"
"months_since_cert_n >=  9.500 & rawben_rel_max >=  0.545 & rawben_rel_max <  0.831 & utilities >= 87.000","1","state","xgboost","any_error",44,0.4773,0.3145,43.32,44,38,108,"buffer"
"rawben_rel_max >= 0.604 & rawben_rel_max < 0.706","2-3","state","xgboost","any_error",44,0.4773,0.3145,69.86,44,1,109,"buffer"
"married >   0.5 & months_since_cert_n >   3.5 & shelter_expenses_by_hh_size > 100.0 & utilities >  56.5","4+","state","ranger","any_error",39,0.4872,0.3143,98.49,39,2,110,"buffer"
"medical_deductions <=   0.500 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 880.000 & utilities <=   5.000","1","national","ranger","any_error",277,0.3791,0.3142,61.12,9,2,111,"buffer"
"months_since_cert_n >   5.500 & rawben_rel_max <=   0.917 & shelter_expenses_by_hh_size > 161.000 & utilities <= 292.000","4+","national","ranger","any_error",100,0.42,0.3122,74.33,9,1,112,"buffer"
"cat_elig <=   1.5 & months_since_cert_n >   5.5 & shelter_expenses_by_hh_size > 108.0 & utilities >  26.0","4+","state","ranger","any_error",42,0.4762,0.3102,112.45,42,1,113,"buffer"
"total_deductions_by_hh_size > 468.00 & unc_rawben_rel_max <=   0.78 & utilities <= 578.00","2-3","national","ranger","any_error",623,0.3531,0.31,63.15,23,3,114,"buffer"
"months_since_cert_n >  18.500 & rawben_rel_max >   0.478 & shelter_expenses_by_hh_size <= 958.000 & total_deductions_by_hh_size > 224.000","1","state","ranger","any_error",32,0.5,0.3099,54.47,32,13,115,"buffer"
"HH_size_n <=   5.5 & months_since_cert_n >   5.5 & total_deductions_by_hh_size > 155.0","4+","state","ranger","any_error",32,0.5,0.3099,119,32,1,116,"buffer"
"elderly_disabled_i > 0.500 & percent_abawd > 0.279 & percent_abawd <= 0.675 & rawben_rel_max <= 0.974","4+","national","ranger","any_error",32,0.5,0.3099,104,8,1,117,"buffer"
"elderly_disabled_i <=  0.500 & rawben_rel_max <=  0.748 & total_deductions_by_hh_size > 20.700 & unc_rawben_rel_max >  0.626","2-3","state","ranger","any_error",37,0.4865,0.3097,65.27,37,3,118,"buffer"
"months_since_cert_n >  6.500 & percent_abawd >  0.183 & total_deductions_by_hh_size > 55.200 & unc_rawben_rel_max <=  0.947","4+","state","ranger","any_error",37,0.4865,0.3097,106.24,37,3,119,"buffer"
"homeless <=   0.500 & total_deductions_by_hh_size > 524.000 & unc_rawben_rel_max <=   0.998 & utilities <= 276.000","1","national","ranger","any_error",625,0.352,0.309,55.33,29,1,120,"buffer"
"months_since_cert_n >=  12.500 & rawben_rel_max >=   0.584 & shelter_expenses_by_hh_size < 794.000 & total_deductions_by_hh_size >= 602.000","1","national","xgboost","any_error",146,0.3973,0.3084,63.38,3,1,121,"buffer"
"months_since_cert_n >=   5.5 & total_deductions_by_hh_size >=  97.1 & utilities >= 299.0","4+","state","xgboost","any_error",50,0.46,0.3081,114.66,50,1,122,"buffer"
"medical_deductions >= 108.000 & rawben_rel_max >=   0.953 & rawben_rel_max <   0.970","1","national","xgboost","any_error",74,0.4324,0.3076,47.61,2,1,123,"buffer"
"rawben_rel_max >=  0.654 & rawben_rel_max <  0.887 & shelter_expenses_by_hh_size >= 86.300","4+","state","xgboost","any_error",58,0.4483,0.3074,107.38,58,4,124,"buffer"
"percent_abawd <  0.450 & rawben_rel_max >=  0.552 & rawben_rel_max <  0.985 & total_deductions_by_hh_size >= 57.100","4+","state","xgboost","any_error",85,0.4235,0.3071,88.24,85,6,125,"buffer"
"married <=   0.500 & percent_abawd <=   0.417 & total_deductions_by_hh_size > 135.000 & unc_rawben_rel_max <=   0.956","2-3","state","ranger","any_error",110,0.4091,0.3068,57.62,110,33,126,"buffer"
"elderly_disabled_i <= 0.500 & percent_abawd <= 0.833 & rawben_rel_max > 0.482 & unc_rawben_rel_max <= 0.724","2-3","state","ranger","any_error",69,0.4348,0.3058,57.3,69,15,127,"buffer"
