"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"medical_deductions >  132.00 & medical_deductions <=  438.00 & shelter_expenses_by_hh_size <= 2230.00 & unc_rawben_rel_max >    1.95","1","national","ranger","any_error",47,0.4894,0.3298,97.6,6,4,104,"core"
"count_divisible_by_100 >   0.5 & months_since_cert_n >   5.5 & shelter_expenses_by_hh_size > 253.0 & utilities > 790.0","4+","national","ranger","any_error",35,0.5143,0.3295,98.97,1,1,105,"core"
"shelter_expenses_by_hh_size >= 2500.00 & unc_rawben_rel_max <    1.21","1","national","xgboost","any_error",57,0.4737,0.3289,83.47,10,1,106,"core"
"elderly_disabled_i >=   0.500 & rawben_rel_max >=   0.986 & rawben_rel_max <   0.991 & total_deductions_by_hh_size >= 766.000","1","national","xgboost","any_error",272,0.3934,0.3272,65.26,22,3,107,"core"
"elderly_disabled_i <   0.5 & shelter_expenses_by_hh_size < 454.0 & total_deductions_by_hh_size >= 312.0","4+","national","xgboost","any_error",264,0.3939,0.3268,83.98,5,1,108,"core"
"months_since_cert_n <   19.5 & shelter_expenses_by_hh_size < 1770.0 & unc_rawben_rel_max >=    2.6","1","national","xgboost","any_error",117,0.4274,0.3265,85.17,7,3,109,"core"
"children_i >=   0.500 & rawben_rel_max >=   0.577 & total_deductions_by_hh_size >= 452.000","2-3","state","xgboost","any_error",33,0.5152,0.3254,130.48,33,8,110,"buffer"
"cat_elig >   1.5000 & percent_abawd >   0.0833 & shelter_expenses_by_hh_size > 252.0000 & total_deductions_by_hh_size > 246.0000","4+","national","ranger","any_error",33,0.5152,0.3254,106.97,2,2,111,"buffer"
"rawben_rel_max <   0.841 & shelter_expenses_by_hh_size >= 543.000 & total_deductions_by_hh_size >= 453.000 & utilities < 362.000","2-3","national","xgboost","any_error",99,0.4343,0.3249,96.66,1,1,112,"buffer"
"cat_elig <   1.5 & months_since_cert_n >=   6.5 & shelter_expenses_by_hh_size < 434.0 & total_deductions_by_hh_size >= 233.0","4+","national","xgboost","any_error",216,0.3981,0.3241,76.27,4,2,113,"buffer"
"months_since_cert_n >  10.5 & total_deductions_by_hh_size > 424.0 & utilities <=  29.5","1","national","ranger","any_error",205,0.4,0.324,67.07,4,1,114,"buffer"
"elderly_disabled_i >   0.50 & percent_abawd <=   0.50 & shelter_expenses_by_hh_size <= 942.00 & unc_rawben_rel_max >   1.79","1","national","ranger","any_error",428,0.3762,0.3236,61.11,12,2,115,"buffer"
"expedited_i <= 0.500 & HH_size_n > 4.500 & months_since_cert_n > 5.500 & percent_abawd > 0.268","4+","national","ranger","any_error",58,0.4655,0.3227,153.29,4,2,116,"buffer"
"months_since_cert_n >=   5.50 & total_deductions_by_hh_size >= 260.00 & unc_rawben_rel_max >=   1.53 & utilities < 276.00","1","national","xgboost","any_error",192,0.401,0.3226,81.47,11,2,117,"buffer"
"total_deductions_by_hh_size >= 1280.00 & total_deductions_by_hh_size < 1390.00 & unc_rawben_rel_max >=    2.52","1","national","xgboost","any_error",48,0.4792,0.3223,97.6,2,1,118,"buffer"
"shelter_expenses_by_hh_size >= 1350.00 & shelter_expenses_by_hh_size < 1740.00 & total_deductions_by_hh_size >= 1250.00 & unc_rawben_rel_max >=    2.41","1","national","xgboost","any_error",108,0.4259,0.3214,87.03,9,1,119,"buffer"
"elderly_disabled_i <=    0.500 & months_since_cert_n >    8.500 & rawben_rel_max <=    0.997 & shelter_expenses_by_hh_size > 1640.000","1","national","ranger","any_error",31,0.5161,0.3211,100.65,5,4,120,"buffer"
"shelter_expenses_by_hh_size > 648.0 & utilities <=  59.5","1","state","ranger","any_error",31,0.5161,0.3211,98.1,31,12,121,"buffer"
"cat_elig >=   1.5 & months_since_cert_n >=   2.5 & total_deductions_by_hh_size >= 302.0 & utilities < 884.0","4+","national","xgboost","any_error",160,0.4062,0.3204,108.76,6,3,122,"buffer"
"months_since_cert_n <=    5.500 & total_deductions_by_hh_size > 1330.000 & unc_rawben_rel_max <=    0.991 & utilities >   30.500","1","national","ranger","any_error",90,0.4333,0.3191,66.54,13,5,123,"buffer"
"cat_elig >=    0.5 & medical_deductions >=  605.0 & total_deductions_by_hh_size < 1770.0","1","national","xgboost","any_error",69,0.4493,0.3188,83,4,1,124,"buffer"
"rawben_rel_max >=    0.0809 & shelter_expenses_by_hh_size < 1760.0000 & unc_rawben_rel_max >=    2.3900 & utilities <  868.0000","1","national","xgboost","any_error",226,0.3894,0.3174,77.88,16,3,125,"buffer"
"rawben_rel_max <   0.997 & shelter_expenses_by_hh_size >= 980.000 & total_deductions_by_hh_size >= 345.000 & utilities < 847.000","2-3","national","xgboost","any_error",198,0.3939,0.317,82.37,10,3,126,"buffer"
"count_divisible_by_100 <=   0.500 & medical_deductions > 567.000 & rawben_rel_max <=   0.997","1","national","ranger","any_error",88,0.4318,0.3165,76.33,5,1,127,"buffer"
"elderly_disabled_i >    0.5 & months_since_cert_n <=    5.5 & shelter_expenses_by_hh_size > 1830.0 & unc_rawben_rel_max <=    1.0","1","national","ranger","any_error",99,0.4242,0.3156,71.78,7,1,128,"buffer"
