"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","n_flagged_state","n_new_at_rank","rank","role"
"married > 0.500 & rawben_rel_max > 0.994 & rawben_rel_max <= 0.996 & unc_rawben_rel_max > 0.162","2-3","national","ranger","any_error",31,0.5484,0.3492,1,1,49,"core"
"elderly_disabled_i >   0.5 & homeless >   0.5 & shelter_expenses_by_hh_size > 620.0 & utilities <= 428.0","1","national","ranger","any_error",47,0.5106,0.3489,3,1,50,"core"
"children_i <   1.000 & rawben_rel_max <   0.996 & shelter_expenses_by_hh_size >= 851.000 & utilities < 471.000","2-3","national","xgboost","any_error",78,0.4744,0.3488,1,1,51,"core"
"rawben_rel_max <   0.949 & shelter_expenses_by_hh_size < 370.000 & total_deductions_by_hh_size >= 305.000 & utilities >= 410.000","4+","national","xgboost","any_error",110,0.4545,0.3488,2,2,52,"core"
"medical_deductions > 116.000 & medical_deductions <= 124.000 & rawben_rel_max >   0.262 & shelter_expenses_by_hh_size <= 848.000","1","national","ranger","any_error",38,0.5263,0.3467,4,4,53,"core"
"rawben_rel_max <   0.749 & utilities >= 379.000 & utilities < 385.000","4+","national","xgboost","any_error",52,0.5,0.3465,3,3,54,"core"
"elderly_disabled_i >   0.50 & total_deductions_by_hh_size <= 321.00 & unc_rawben_rel_max >   1.47","1","national","ranger","any_error",36,0.5278,0.3437,3,1,55,"core"
"married <=   0.5 & months_since_cert_n >   5.5 & unc_rawben_rel_max >   1.8 & utilities <= 456.0","1","national","ranger","any_error",377,0.4005,0.3436,8,2,56,"core"
"children_i <=   0.500 & total_deductions_by_hh_size > 471.000 & unc_rawben_rel_max <=   0.863 & utilities <= 490.000","2-3","national","ranger","any_error",135,0.437,0.3421,1,1,57,"core"
"rawben_rel_max >=   0.0484 & shelter_expenses_by_hh_size >= 876.0000 & total_deductions_by_hh_size >= 566.0000 & utilities < 471.0000","2-3","national","xgboost","any_error",68,0.4706,0.3372,1,1,58,"core"
"total_deductions_by_hh_size < 1130.00 & unc_rawben_rel_max >=    1.93 & utilities <  471.00","1","national","xgboost","any_error",214,0.4065,0.3317,3,1,59,"core"
"months_since_cert_n >   5.500 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 182.000 & utilities <= 278.000","4+","national","ranger","any_error",82,0.4512,0.3304,2,1,60,"core"
"months_since_cert_n >   3.50 & unc_rawben_rel_max >   1.97 & utilities <= 622.00","1","national","ranger","any_error",324,0.3889,0.3282,6,1,61,"core"
"rawben_rel_max >=   0.313 & shelter_expenses_by_hh_size >= 425.000 & total_deductions_by_hh_size >= 244.000 & total_deductions_by_hh_size < 261.000","4+","national","xgboost","any_error",114,0.4298,0.3276,1,1,62,"core"
"shelter_expenses_by_hh_size < 370.000 & total_deductions_by_hh_size >= 282.000 & unc_rawben_rel_max <   0.992 & utilities >= 306.000","4+","national","xgboost","any_error",195,0.4051,0.327,4,2,63,"core"
"months_since_cert_n >=   7 & total_deductions_by_hh_size >= 315 & utilities < 553","4+","national","xgboost","any_error",65,0.4615,0.3263,3,1,64,"core"
"HH_size_n >=   5 & shelter_expenses_by_hh_size >= 163 & shelter_expenses_by_hh_size < 310 & total_deductions_by_hh_size >= 200","4+","national","xgboost","any_error",262,0.3931,0.3258,2,2,65,"core"
"months_since_cert_n >  10.5 & total_deductions_by_hh_size > 424.0 & utilities <=  29.5","1","national","ranger","any_error",205,0.4,0.324,11,5,66,"core"
"medical_deductions >= 5.000 & medical_deductions < 8.000 & rawben_rel_max < 0.553","1","national","xgboost","any_error",58,0.4655,0.3227,2,2,67,"core"
"HH_size_n >=   8.00 & shelter_expenses_by_hh_size < 106.00 & total_deductions_by_hh_size >=  44.50 & unc_rawben_rel_max <   0.78","4+","national","xgboost","any_error",66,0.4545,0.3209,1,1,68,"core"
