"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag","collapsed","dominated","dominated_by","pruned_conditions","rule_pruned","precision_recomputed","n_flagged_recomputed"
"1","rule2571","rawearn >= 1.5 & rawben_rel_max < 0.972",2,"INCLUDE",-0.698,0.188,7.9,936,258,678,0.276,0.325,0.277,4.13,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawearn >= 1.5 & rawben_rel_max < 0.972",NA,NA
"1","rule735","rawearn >= 1 & unc_rawben_rel_max < 0.972",2,"INCLUDE",-0.435,0.117,7.9,937,258,679,0.275,0.325,0.277,4.13,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawearn >= 1 & unc_rawben_rel_max < 0.972",NA,NA
"1","rule5737","unc_rawben_rel_max < 1.66 & married < 0.5 & rawearn >= 3.5 & rawben_rel_max < 0.9772",4,"INCLUDE",-0.373,0.1,7.7,920,253,667,0.275,0.319,0.273,4.12,0.067,"earned_overissuance",FALSE,FALSE,NA,"","unc_rawben_rel_max < 1.66 & married < 0.5 & rawearn >= 3.5 & rawben_rel_max < 0.9772",NA,NA
"1","rule1709","rawunearn < 59 & total_deductions >= 57.5 & months_since_cert_n >= 3.5 & months_since_cert_n < 9.5",4,"INCLUDE",-0.007,0.002,6.5,768,207,561,0.27,0.261,0.278,4.04,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawunearn < 59 & total_deductions >= 57.5 & months_since_cert_n >= 3.5 & months_since_cert_n < 9.5",NA,NA
"1","rule6873","elderly_disabled_i %in% c(""FALSE"") & months_since_cert_n >= 7.5 & months_since_cert_n < 8.5",3,"INCLUDE",-0.267,0.034,1.7,197,53,144,0.269,0.067,0.072,4.04,0.067,"earned_overissuance",FALSE,FALSE,NA,"","elderly_disabled_i %in% c(""FALSE"") & months_since_cert_n >= 7.5 & months_since_cert_n < 8.5",NA,NA
"1","rule660","unc_rawben_rel_max >= 1.61 & utilities >= 67 & months_since_cert_n >= 7.5",3,"INCLUDE",0.026,0.004,2,240,64,176,0.267,0.081,0.091,4,0.067,"earned_overissuance",FALSE,FALSE,NA,"","unc_rawben_rel_max >= 1.61 & utilities >= 67 & months_since_cert_n >= 7.5",NA,NA
"1","rule7602","rawunearn < 361.5 & rawben_rel_max < 0.9244 & utilities >= 21",3,"INCLUDE",0.012,0.002,4.1,485,128,357,0.264,0.161,0.128,3.96,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawunearn < 361.5 & rawben_rel_max < 0.9244 & utilities >= 21",NA,NA
"1","rule2687","rawearn < 1334 & unc_rawben_rel_max >= 1.685 & utilities < 552 & shelter_expenses < 831.5",4,"INCLUDE",-0.06,0.008,1.7,205,54,151,0.263,0.068,0.077,3.95,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawearn < 1334 & unc_rawben_rel_max >= 1.685 & utilities < 552 & shelter_expenses < 831.5",NA,NA
"1","rule7538","unc_rawben_rel_max >= 1.912 & utilities < 581.5 & shelter_expenses >= 995.5",3,"INCLUDE",0.083,0.008,0.8,100,26,74,0.26,0.033,0.037,3.9,0.067,"earned_overissuance",FALSE,FALSE,NA,"","unc_rawben_rel_max >= 1.912 & utilities < 581.5 & shelter_expenses >= 995.5",NA,NA
"1","rule7786","rawearn >= 811.5 & shelter_expenses < 762",2,"INCLUDE",-0.048,0.008,2.5,299,77,222,0.258,0.097,0.085,3.86,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawearn >= 811.5 & shelter_expenses < 762",NA,NA
"1","rule6790","medical_deductions < 145 & unc_rawben_rel_max < 1.292 & total_deductions >= 1097",3,"INCLUDE",-0.049,0.005,0.9,105,27,78,0.257,0.034,0.033,3.86,0.067,"earned_overissuance",FALSE,FALSE,NA,"","medical_deductions < 145 & unc_rawben_rel_max < 1.292 & total_deductions >= 1097",NA,NA
"1","rule1874","rawunearn < 259 & total_deductions >= 208 & percent_abawd < 0.5 & utilities < 15.5",4,"INCLUDE",-0.159,0.019,1.5,176,45,131,0.256,0.057,0.063,3.84,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawunearn < 259 & total_deductions >= 208 & percent_abawd < 0.5 & utilities < 15.5",NA,NA
"1","rule7241","count_divisible_by_100 < 0.5 & unc_rawben_rel_max >= 1.57 & utilities < 559.5",3,"INCLUDE",-0.16,0.034,4.6,550,139,411,0.253,0.175,0.199,3.79,0.067,"earned_overissuance",FALSE,FALSE,NA,"","count_divisible_by_100 < 0.5 & unc_rawben_rel_max >= 1.57 & utilities < 559.5",NA,NA
"1","rule6976","rawearn < 1023 & rawgross < 5 & months_since_cert_n >= 11.5 & elderly_disabled_i %in% c(""FALSE"")",4,"INCLUDE",-0.179,0.016,0.8,99,25,74,0.253,0.032,0.04,3.79,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawearn < 1023 & rawgross < 5 & months_since_cert_n >= 11.5 & elderly_disabled_i %in% c(""FALSE"")",NA,NA
"1","rule7342","rawearn < 262.5 & shelter_expenses >= 958.5 & rawunearn < 750",3,"INCLUDE",-0.019,0.004,3.9,468,118,350,0.252,0.149,0.172,3.78,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawearn < 262.5 & shelter_expenses >= 958.5 & rawunearn < 750",NA,NA
"1","rule956","rawunearn < 493.5 & shelter_expenses < 1030 & unc_rawben_rel_max < 0.982",3,"INCLUDE",-0.039,0.009,5,600,150,450,0.25,0.189,0.167,3.75,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawunearn < 493.5 & shelter_expenses < 1030 & unc_rawben_rel_max < 0.982",NA,NA
"1","rule3466","rawunearn < 27.5 & cat_elig >= 0.5 & shelter_expenses >= 587",3,"INCLUDE",-0.189,0.053,8.8,1043,260,783,0.249,0.328,0.329,3.74,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawunearn < 27.5 & cat_elig >= 0.5 & shelter_expenses >= 587",NA,NA
