"state","arm","budget","n_pool","n_dropped_by_floor","n_core","n_buffer","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","fill_gap_core","fill_gap_total"
"North Dakota","unfiltered",0.05,54678,0,27,46,434,21,4,0.1905,0.0968,0.1236,0,0
"North Dakota","unfiltered",0.1,54678,0,49,65,434,43,8,0.186,0.0968,0.2138,0,0
"North Dakota","floor02",0.05,54485,193,27,46,434,21,4,0.1905,0.0968,0.1236,0,0
"North Dakota","floor02",0.1,54485,193,49,65,434,43,8,0.186,0.0968,0.2138,0,0
"North Dakota","floor05",0.05,54044,634,27,46,434,21,4,0.1905,0.0968,0.1236,0,0
"North Dakota","floor05",0.1,54044,634,49,65,434,43,8,0.186,0.0968,0.2138,0,0
"Ohio","unfiltered",0.05,54776,0,32,64,895,44,16,0.3636,0.1017,0.2727,0,0
"Ohio","unfiltered",0.1,54776,0,69,149,895,89,28,0.3146,0.1017,0.3896,0,0
"Ohio","floor02",0.05,54583,193,32,63,895,44,16,0.3636,0.1017,0.2727,0,0
"Ohio","floor02",0.1,54583,193,69,146,895,89,28,0.3146,0.1017,0.3896,0,0
"Ohio","floor05",0.05,54140,636,32,63,895,44,16,0.3636,0.1017,0.2727,0,0
"Ohio","floor05",0.1,54140,636,69,145,895,89,28,0.3146,0.1017,0.3896,0,0
"Oklahoma","unfiltered",0.05,62215,0,37,47,873,43,15,0.3488,0.1592,0.1097,0,0
"Oklahoma","unfiltered",0.1,62215,0,57,129,873,87,30,0.3448,0.1592,0.2158,0,0
"Oklahoma","floor02",0.05,62021,194,36,47,873,43,15,0.3488,0.1592,0.1097,0,0
"Oklahoma","floor02",0.1,62021,194,56,129,873,87,30,0.3448,0.1592,0.2158,0,0
"Oklahoma","floor05",0.05,61578,637,36,47,873,43,15,0.3488,0.1592,0.1097,0,0
"Oklahoma","floor05",0.1,61578,637,56,126,873,87,30,0.3448,0.1592,0.2158,0,0
"Oregon","unfiltered",0.05,61310,0,11,11,823,41,15,0.3659,0.1507,0.1152,0,0
"Oregon","unfiltered",0.1,61310,0,21,87,823,82,35,0.4268,0.1507,0.3238,0,0
"Oregon","floor02",0.05,61117,193,11,11,823,41,15,0.3659,0.1507,0.1152,0,0
"Oregon","floor02",0.1,61117,193,21,86,823,82,35,0.4268,0.1507,0.3238,0,0
