"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any","error_frame","side","status","mean_threshold_shift_pct"
"4+","children_i > 0.500 & count_divisible_by_100 > 0.500 & rawben_rel_max <= 0.589","ranger",266,70,0.2632,0.2055,131,34,0.2595,0.0313,0.0306,2.37,131,34,0.2595,0.0313,0.0306,2.37,"any_error","new","new",NA
"4+","count_divisible_by_100 >  0.5 & elderly_disabled_i >  0.5 & utilities <= 55.5","ranger",19,8,0.4211,0.2055,5,0,0,0,0,0.09,5,0,0,0,0,0.09,"any_error","new","new",NA
"4+","count_divisible_by_100 >=   1.00 & rawben_rel_max >=   0.42 & shelter_expenses_by_hh_size < 234.00 & utilities >= 367.00","xgboost",232,62,0.2672,0.2055,154,30,0.1948,0.0276,0.025,2.786,154,30,0.1948,0.0276,0.025,2.786,"any_error","new","new",NA
"4+","elderly_disabled_i <   1 & shelter_expenses_by_hh_size < 231 & unc_rawben_rel_max <   1","xgboost",3168,704,0.2222,0.2055,1594,358,0.2246,0.3293,0.3249,28.84,1594,358,0.2246,0.3293,0.3249,28.84,"any_error","new","new",NA
"4+","elderly_disabled_i <   1.00 & HH_size_n <   7.00 & rawben_rel_max <   0.75 & shelter_expenses_by_hh_size < 382.00","xgboost",2967,661,0.2228,0.2055,1472,320,0.2174,0.2944,0.2625,26.633,1472,320,0.2174,0.2944,0.2625,26.633,"any_error","new","new",NA
"4+","expedited_i <=   0.5000 & HH_size_n >   4.5000 & percent_abawd >   0.0833 & total_deductions_by_hh_size > 221.0000","ranger",19,8,0.4211,0.2055,21,6,0.2857,0.0055,0.003,0.38,21,6,0.2857,0.0055,0.003,0.38,"any_error","new","new",NA
"4+","rawben_rel_max >=   0.512 & unc_rawben_rel_max <   0.545 & utilities >= 368.000 & utilities < 415.000","xgboost",43,15,0.3488,0.2055,30,8,0.2667,0.0074,0.0082,0.543,30,8,0.2667,0.0074,0.0082,0.543,"any_error","new","shifted",37.2
"4+","HH_size_n <= 5.500 & homeless <= 0.500 & months_since_cert_n <= 7.500 & rawben_rel_max <= 0.999","ranger",4912,1075,0.2189,0.2054,2439,510,0.2091,0.4692,0.4151,44.129,2439,510,0.2091,0.4692,0.4151,44.129,"any_error","new","new",NA
"4+","cat_elig <   2.000 & rawben_rel_max <   0.925 & shelter_expenses_by_hh_size >= 406.000 & utilities < 580.000","xgboost",211,57,0.2701,0.2054,219,51,0.2329,0.0469,0.049,3.962,219,51,0.2329,0.0469,0.049,3.962,"any_error","new","new",NA
"4+","cat_elig >=   2.000 & total_deductions_by_hh_size < 302.000 & unc_rawben_rel_max >=   0.223 & utilities >= 424.000","xgboost",1945,441,0.2267,0.2054,52,15,0.2885,0.0138,0.0115,0.941,52,15,0.2885,0.0138,0.0115,0.941,"any_error","new","new",NA
"4+","children_i >   0.500 & medical_deductions <= 137.000 & months_since_cert_n >   3.500 & percent_abawd <=   0.268","ranger",5475,1194,0.2181,0.2054,2829,594,0.21,0.5465,0.5601,51.185,2829,594,0.21,0.5465,0.5601,51.185,"any_error","new","new",NA
"4+","children_i > 0.500 & HH_size_n <= 4.500 & rawben_rel_max > 0.558 & rawben_rel_max <= 0.999","ranger",2367,532,0.2248,0.2054,1250,288,0.2304,0.2649,0.2446,22.616,1250,288,0.2304,0.2649,0.2446,22.616,"any_error","new","new",NA
"4+","elderly_disabled_i <   1 & shelter_expenses_by_hh_size >= 247 & utilities < 526","xgboost",1857,422,0.2272,0.2054,871,183,0.2101,0.1684,0.1662,15.759,871,183,0.2101,0.1684,0.1662,15.759,"any_error","new","new",NA
"4+","elderly_disabled_i <=   0.5 & HH_size_n >   5.5 & shelter_expenses_by_hh_size <= 166.0 & total_deductions_by_hh_size >  11.6","ranger",715,172,0.2406,0.2054,376,77,0.2048,0.0708,0.0806,6.803,376,77,0.2048,0.0708,0.0806,6.803,"any_error","new","new",NA
"4+","elderly_disabled_i >   0.500 & months_since_cert_n <=   5.500 & rawben_rel_max <=   0.733 & utilities <= 864.000","ranger",760,182,0.2395,0.2054,304,56,0.1842,0.0515,0.0473,5.5,304,56,0.1842,0.0515,0.0473,5.5,"any_error","new","new",NA
"4+","elderly_disabled_i > 0.500 & unc_rawben_rel_max <= 0.992","ranger",1802,410,0.2275,0.2054,914,187,0.2046,0.172,0.1606,16.537,914,187,0.2046,0.172,0.1606,16.537,"any_error","new","new",NA
"4+","married <   1 & shelter_expenses_by_hh_size >= 158 & total_deductions_by_hh_size < 296","xgboost",3629,802,0.221,0.2054,1939,416,0.2145,0.3827,0.357,35.082,1939,416,0.2145,0.3827,0.357,35.082,"any_error","new","new",NA
"4+","married >   0.5 & total_deductions_by_hh_size > 136.0 & total_deductions_by_hh_size <= 315.0 & utilities <= 555.0","ranger",1063,249,0.2342,0.2054,506,112,0.2213,0.103,0.1153,9.155,506,112,0.2213,0.103,0.1153,9.155,"any_error","new","new",NA
"4+","medical_deductions <= 132.00 & months_since_cert_n >   3.50 & percent_abawd <=   0.05","ranger",5300,1157,0.2183,0.2054,2724,570,0.2093,0.5244,0.5383,49.285,2724,570,0.2093,0.5244,0.5383,49.285,"any_error","new","new",NA
"4+","months_since_cert_n <   9 & shelter_expenses_by_hh_size >= 552 & total_deductions_by_hh_size < 339","xgboost",161,45,0.2795,0.2054,107,19,0.1776,0.0175,0.0222,1.936,107,19,0.1776,0.0175,0.0222,1.936,"any_error","new","new",NA
"4+","months_since_cert_n >=   8.000 & unc_rawben_rel_max >=   0.223 & utilities < 735.000","xgboost",1742,397,0.2279,0.2054,969,217,0.2239,0.1996,0.1966,17.532,969,217,0.2239,0.1996,0.1966,17.532,"any_error","new","new",NA
"4+","HH_size_n <   8.000 & percent_abawd <   0.125 & utilities >= 534.000","xgboost",2615,585,0.2237,0.2053,1531,294,0.192,0.2705,0.2691,27.7,1531,294,0.192,0.2705,0.2691,27.7,"any_error","new","new",NA
"4+","cat_elig <=   0.500 & unc_rawben_rel_max >   0.377 & unc_rawben_rel_max <=   0.969 & utilities <= 334.000","ranger",497,123,0.2475,0.2053,274,51,0.1861,0.0469,0.0396,4.957,274,51,0.1861,0.0469,0.0396,4.957,"any_error","new","new",NA
"4+","cat_elig >   1.500 & married >   0.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size <= 175.000","ranger",711,171,0.2405,0.2053,48,8,0.1667,0.0074,0.0069,0.868,48,8,0.1667,0.0074,0.0069,0.868,"any_error","new","overlap",NA
"4+","cat_elig >=  2 & months_since_cert_n < 13","xgboost",4156,914,0.2199,0.2053,299,58,0.194,0.0534,0.0484,5.41,299,58,0.194,0.0534,0.0484,5.41,"any_error","new","overlap",NA
"4+","children_i > 0.500 & months_since_cert_n > 3.500 & percent_abawd <= 0.354","ranger",5519,1203,0.218,0.2053,2862,610,0.2131,0.5612,0.5725,51.782,2862,610,0.2131,0.5612,0.5725,51.782,"any_error","new","new",NA
"4+","elderly_disabled_i >   0.50 & HH_size_n <=  10.50 & medical_deductions <= 137.00 & unc_rawben_rel_max <=   1.39","ranger",1937,439,0.2266,0.2053,963,193,0.2004,0.1776,0.1719,17.424,963,193,0.2004,0.1776,0.1719,17.424,"any_error","new","new",NA
"4+","elderly_disabled_i >   0.50 & medical_deductions <= 247.00 & total_deductions_by_hh_size >   8.78 & total_deductions_by_hh_size <= 174.00","ranger",1187,276,0.2325,0.2053,600,124,0.2067,0.1141,0.1115,10.856,600,124,0.2067,0.1141,0.1115,10.856,"any_error","new","new",NA
"4+","homeless <= 0.500 & rawben_rel_max <= 0.999 & unc_rawben_rel_max <= 0.590","ranger",3561,787,0.221,0.2053,1771,363,0.205,0.3339,0.303,32.043,1771,363,0.205,0.3339,0.303,32.043,"any_error","new","new",NA
"4+","married <   1.000 & rawben_rel_max <   0.489 & utilities >= 280.000","xgboost",1182,275,0.2327,0.2053,566,107,0.189,0.0984,0.0819,10.241,566,107,0.189,0.0984,0.0819,10.241,"any_error","new","new",NA
"4+","married >   0.500 & months_since_cert_n <=   5.500 & percent_abawd <=   0.268 & total_deductions_by_hh_size > 149.000","ranger",1100,257,0.2336,0.2053,529,102,0.1928,0.0938,0.0902,9.571,529,102,0.1928,0.0938,0.0902,9.571,"any_error","new","new",NA
"4+","cat_elig <   3 & elderly_disabled_i <   1 & shelter_expenses_by_hh_size >= 157 & total_deductions_by_hh_size >= 113","xgboost",4686,1026,0.219,0.2052,2457,526,0.2141,0.4839,0.4793,44.454,2457,526,0.2141,0.4839,0.4793,44.454,"any_error","new","overlap",NA
"4+","cat_elig > 0.500 & married <= 0.500 & percent_abawd <= 0.633 & total_deductions_by_hh_size > 0.650","ranger",5002,1093,0.2185,0.2052,2647,577,0.218,0.5308,0.5264,47.892,2647,577,0.218,0.5308,0.5264,47.892,"any_error","new","new",NA
"4+","elderly_disabled_i >  0.5000 & HH_size_n >  5.5000 & percent_abawd <=  0.0714 & shelter_expenses_by_hh_size > 50.1000","ranger",405,102,0.2519,0.2052,212,53,0.25,0.0488,0.0525,3.836,212,53,0.25,0.0488,0.0525,3.836,"any_error","new","new",NA
"4+","homeless <=  0.500 & percent_abawd <=  0.279 & utilities > 30.500","ranger",8818,1898,0.2152,0.2052,4434,900,0.203,0.828,0.8111,80.224,4434,900,0.203,0.828,0.8111,80.224,"any_error","new","new",NA
"4+","months_since_cert_n <  17.000 & shelter_expenses_by_hh_size >= 360.000 & shelter_expenses_by_hh_size < 423.000 & unc_rawben_rel_max >=   0.166","xgboost",680,164,0.2412,0.2052,343,82,0.2391,0.0754,0.0742,6.206,343,82,0.2391,0.0754,0.0742,6.206,"any_error","new","new",NA
"4+","months_since_cert_n >   8.5 & months_since_cert_n <=  33.5 & total_deductions_by_hh_size <= 431.0","ranger",1591,364,0.2288,0.2052,908,204,0.2247,0.1877,0.1898,16.428,908,204,0.2247,0.1877,0.1898,16.428,"any_error","new","new",NA
"4+","cat_elig <   3 & elderly_disabled_i >=   1 & utilities >= 291","xgboost",1624,371,0.2284,0.2051,890,186,0.209,0.1711,0.1627,16.103,890,186,0.209,0.1711,0.1627,16.103,"any_error","new","new",NA
"4+","cat_elig <=   1.5 & expedited_i <=   0.5 & medical_deductions <= 136.0 & shelter_expenses_by_hh_size > 255.0","ranger",1976,447,0.2262,0.2051,1807,407,0.2252,0.3744,0.3759,32.694,1807,407,0.2252,0.3744,0.3759,32.694,"any_error","new","overlap",NA
"4+","cat_elig > 0.5 & elderly_disabled_i > 0.5 & months_since_cert_n <= 6.5","ranger",1165,271,0.2326,0.2051,534,113,0.2116,0.104,0.0986,9.662,534,113,0.2116,0.104,0.0986,9.662,"any_error","new","new",NA
"4+","cat_elig >=   1.000 & elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.561 & utilities >= 361.000","xgboost",788,188,0.2386,0.2051,401,103,0.2569,0.0948,0.098,7.255,401,103,0.2569,0.0948,0.098,7.255,"any_error","new","new",NA
"4+","cat_elig >=   2.00 & total_deductions_by_hh_size < 392.00 & unc_rawben_rel_max <   1.18 & utilities < 844.00","xgboost",3540,782,0.2209,0.2051,316,60,0.1899,0.0552,0.0508,5.717,316,60,0.1899,0.0552,0.0508,5.717,"any_error","new","overlap",NA
"4+","expedited_i <=  0.5 & married <=  0.5 & utilities > 30.5","ranger",5303,1156,0.218,0.2051,2750,569,0.2069,0.5235,0.4931,49.756,2750,569,0.2069,0.5235,0.4931,49.756,"any_error","new","new",NA
"4+","homeless <=  0.500 & months_since_cert_n <= 30.500 & rawben_rel_max <=  0.999 & unc_rawben_rel_max <=  0.590","ranger",3555,785,0.2208,0.2051,1767,362,0.2049,0.333,0.3027,31.97,1767,362,0.2049,0.333,0.3027,31.97,"any_error","new","new",NA
"4+","HH_size_n <   8 & medical_deductions <   1 & utilities >= 291","xgboost",7718,1665,0.2157,0.205,4095,830,0.2027,0.7636,0.7492,74.091,4095,830,0.2027,0.7636,0.7492,74.091,"any_error","new","new",NA
"4+","HH_size_n < 8 & months_since_cert_n >= 4","xgboost",5428,1182,0.2178,0.205,2826,607,0.2148,0.5584,0.5773,51.131,2826,607,0.2148,0.5584,0.5773,51.131,"any_error","new","new",NA
"4+","cat_elig <   2.000 & rawben_rel_max >=   0.137 & shelter_expenses_by_hh_size < 338.000 & unc_rawben_rel_max <   0.998","xgboost",4012,882,0.2198,0.205,2935,647,0.2204,0.5952,0.5585,53.103,2935,647,0.2204,0.5952,0.5585,53.103,"any_error","new","new",NA
"4+","cat_elig <=   1.500 & months_since_cert_n >  12.500 & rawben_rel_max <=   0.924 & shelter_expenses_by_hh_size <= 123.000","ranger",29,11,0.3793,0.205,31,8,0.2581,0.0074,0.013,0.561,31,8,0.2581,0.0074,0.013,0.561,"any_error","new","new",NA
"4+","cat_elig >   1.500 & months_since_cert_n <=   5.500 & total_deductions_by_hh_size <= 222.000 & unc_rawben_rel_max <=   0.999","ranger",1634,373,0.2283,0.205,125,31,0.248,0.0285,0.0261,2.262,125,31,0.248,0.0285,0.0261,2.262,"any_error","new","new",NA
"4+","cat_elig >=   3 & shelter_expenses_by_hh_size < 158 & utilities >=  18","xgboost",29,11,0.3793,0.205,0,0,NA,0,0,0,0,0,NA,0,0,0,"any_error","new","shifted",85.4
"4+","cat_elig >=  1.000 & elderly_disabled_i <  1.000 & rawben_rel_max <  0.569 & shelter_expenses_by_hh_size >= 84.800","xgboost",2060,465,0.2257,0.205,1064,234,0.2199,0.2153,0.189,19.251,1064,234,0.2199,0.2153,0.189,19.251,"any_error","new","shifted",61.6
"4+","children_i <= 0.500 & percent_abawd <= 0.125 & unc_rawben_rel_max > 0.550","ranger",29,11,0.3793,0.205,8,2,0.25,0.0018,0.0016,0.145,8,2,0.25,0.0018,0.0016,0.145,"any_error","new","new",NA
"4+","children_i > 0.5 & elderly_disabled_i > 0.5 & HH_size_n <= 4.5 & married <= 0.5","ranger",703,169,0.2404,0.205,365,71,0.1945,0.0653,0.0585,6.604,365,71,0.1945,0.0653,0.0585,6.604,"any_error","new","new",NA
"4+","count_divisible_by_100 <   2 & months_since_cert_n >=  12 & total_deductions_by_hh_size < 320","xgboost",314,81,0.258,0.205,193,47,0.2435,0.0432,0.0429,3.492,193,47,0.2435,0.0432,0.0429,3.492,"any_error","new","new",NA
"4+","count_divisible_by_100 >   0.5 & medical_deductions <= 192.0 & total_deductions_by_hh_size > 176.0","ranger",271,71,0.262,0.205,162,45,0.2778,0.0414,0.0436,2.931,162,45,0.2778,0.0414,0.0436,2.931,"any_error","new","new",NA
"4+","elderly_disabled_i >  0.500 & expedited_i <=  0.500 & percent_abawd >  0.183 & total_deductions_by_hh_size > 99.500","ranger",29,11,0.3793,0.205,14,6,0.4286,0.0055,0.003,0.253,14,6,0.4286,0.0055,0.003,0.253,"any_error","new","new",NA
"4+","expedited_i <=  0.500 & married <=  0.500 & percent_abawd <=  0.775 & utilities > 30.500","ranger",5301,1155,0.2179,0.205,2747,569,0.2071,0.5235,0.4931,49.701,2747,569,0.2071,0.5235,0.4931,49.701,"any_error","new","new",NA
"4+","married >=   1.000 & rawben_rel_max >=   0.699 & shelter_expenses_by_hh_size >= 188.000 & total_deductions_by_hh_size >=  62.200","xgboost",947,223,0.2355,0.205,445,102,0.2292,0.0938,0.1087,8.051,445,102,0.2292,0.0938,0.1087,8.051,"any_error","new","new",NA
"4+","months_since_cert_n <   8.000 & shelter_expenses_by_hh_size >= 122.000 & unc_rawben_rel_max <   0.792 & utilities >= 430.000","xgboost",2228,501,0.2249,0.205,1206,257,0.2131,0.2364,0.2144,21.82,1206,257,0.2131,0.2364,0.2144,21.82,"any_error","new","new",NA
"4+","months_since_cert_n <=  29.500 & percent_abawd <=   0.279 & shelter_expenses_by_hh_size <= 266.000 & unc_rawben_rel_max <=   0.962","ranger",4676,1023,0.2188,0.205,2350,513,0.2183,0.4719,0.4515,42.519,2350,513,0.2183,0.4719,0.4515,42.519,"any_error","new","new",NA
"4+","months_since_cert_n >=   1 & months_since_cert_n <   5 & utilities >= 596 & utilities < 707","xgboost",314,81,0.258,0.205,183,37,0.2022,0.034,0.031,3.311,183,37,0.2022,0.034,0.031,3.311,"any_error","new","shifted",862.7
"4+","shelter_expenses_by_hh_size >= 198.000 & unc_rawben_rel_max >=   0.645 & utilities >= 502.000","xgboost",1349,311,0.2305,0.205,770,163,0.2117,0.15,0.1631,13.932,770,163,0.2117,0.15,0.1631,13.932,"any_error","new","new",NA
"4+","cat_elig >   0.5 & count_divisible_by_100 <=   2.5 & elderly_disabled_i >   0.5 & utilities <= 786.0","ranger",1497,343,0.2291,0.2049,700,147,0.21,0.1352,0.1361,12.665,700,147,0.21,0.1352,0.1361,12.665,"any_error","new","new",NA
"4+","cat_elig > 0.500 & count_divisible_by_100 > 0.500 & HH_size_n <= 5.500 & rawben_rel_max <= 0.957","ranger",410,103,0.2512,0.2049,235,56,0.2383,0.0515,0.0497,4.252,235,56,0.2383,0.0515,0.0497,4.252,"any_error","new","new",NA
"4+","count_divisible_by_100 >=   1.00 & rawben_rel_max >=   0.42 & utilities >= 367.00","xgboost",507,125,0.2465,0.2049,315,76,0.2413,0.0699,0.0773,5.699,315,76,0.2413,0.0699,0.0773,5.699,"any_error","new","new",NA
"4+","elderly_disabled_i <=   0.5 & months_since_cert_n >   6.5 & total_deductions_by_hh_size <= 208.0 & utilities >  55.5","ranger",1299,300,0.2309,0.2049,711,157,0.2208,0.1444,0.1469,12.864,711,157,0.2208,0.1444,0.1469,12.864,"any_error","new","new",NA
"4+","expedited_i <= 0.500 & months_since_cert_n > 6.500 & rawben_rel_max <= 0.999 & unc_rawben_rel_max <= 0.541","ranger",672,162,0.2411,0.2049,393,86,0.2188,0.0791,0.0824,7.111,393,86,0.2188,0.0791,0.0824,7.111,"any_error","new","new",NA
"4+","HH_size_n >=   5.000 & percent_abawd <   0.182 & rawben_rel_max >=   0.375 & total_deductions_by_hh_size < 283.000","xgboost",4323,947,0.2191,0.2048,2143,443,0.2067,0.4075,0.4242,38.773,2143,443,0.2067,0.4075,0.4242,38.773,"any_error","new","new",NA
"4+","children_i >  0.5 & elderly_disabled_i <=  0.5 & married >  0.5 & utilities > 30.5","ranger",2673,596,0.223,0.2048,1288,264,0.205,0.2429,0.2646,23.304,1288,264,0.205,0.2429,0.2646,23.304,"any_error","new","new",NA
"4+","count_divisible_by_100 <=   1.5 & HH_size_n >   5.5 & married >   0.5 & medical_deductions <= 150.0","ranger",1153,268,0.2324,0.2048,582,122,0.2096,0.1122,0.1444,10.53,582,122,0.2096,0.1122,0.1444,10.53,"any_error","new","overlap",NA
"4+","elderly_disabled_i >= 1.000 & HH_size_n < 9.000 & unc_rawben_rel_max >= 0.183","xgboost",1891,428,0.2263,0.2048,951,197,0.2072,0.1812,0.174,17.206,951,197,0.2072,0.1812,0.174,17.206,"any_error","new","new",NA
"4+","expedited_i <= 0.500 & HH_size_n <= 4.500 & rawben_rel_max > 0.329 & rawben_rel_max <= 0.975","ranger",3104,688,0.2216,0.2048,1642,353,0.215,0.3247,0.2929,29.709,1642,353,0.215,0.3247,0.2929,29.709,"any_error","new","new",NA
"4+","cat_elig <=   0.500 & rawben_rel_max <=   0.901 & unc_rawben_rel_max <=   1.000 & utilities <= 302.000","ranger",419,105,0.2506,0.2047,200,45,0.225,0.0414,0.0353,3.619,200,45,0.225,0.0414,0.0353,3.619,"any_error","new","new",NA
"4+","children_i >=  1.000 & percent_abawd <  0.182 & utilities >= 28.000","xgboost",8637,1855,0.2148,0.2047,4343,873,0.201,0.8031,0.7863,78.578,4343,873,0.201,0.8031,0.7863,78.578,"any_error","new","new",NA
"4+","expedited_i >   0.500 & HH_size_n <=   6.500 & total_deductions_by_hh_size <= 233.000 & unc_rawben_rel_max <=   0.996","ranger",267,70,0.2622,0.2047,139,36,0.259,0.0331,0.0291,2.515,139,36,0.259,0.0331,0.0291,2.515,"any_error","new","overlap",NA
"4+","married >= 1.000 & rawben_rel_max >= 0.341","xgboost",3105,688,0.2216,0.2047,1521,305,0.2005,0.2806,0.307,27.519,1521,305,0.2005,0.2806,0.307,27.519,"any_error","new","new",NA
"4+","medical_deductions <  14.000 & rawben_rel_max <   0.603 & shelter_expenses_by_hh_size < 527.000 & total_deductions_by_hh_size < 351.000","xgboost",3443,760,0.2207,0.2047,1685,341,0.2024,0.3137,0.2784,30.487,1685,341,0.2024,0.3137,0.2784,30.487,"any_error","new","new",NA
"4+","HH_size_n <  8 & months_since_cert_n < 16 & utilities >= 31","xgboost",8499,1825,0.2147,0.2046,4311,877,0.2034,0.8068,0.795,77.999,4311,877,0.2034,0.8068,0.795,77.999,"any_error","new","new",NA
"4+","HH_size_n >=   5 & months_since_cert_n <  10 & utilities < 789","xgboost",4290,939,0.2189,0.2046,2053,421,0.2051,0.3873,0.4126,37.145,2053,421,0.2051,0.3873,0.4126,37.145,"any_error","new","new",NA
"4+","HH_size_n >=   8.000 & percent_abawd <   0.125 & rawben_rel_max >=   0.400 & utilities < 511.000","xgboost",195,53,0.2718,0.2046,97,18,0.1856,0.0166,0.0205,1.755,97,18,0.1856,0.0166,0.0205,1.755,"any_error","new","new",NA
"4+","children_i >   0.5 & elderly_disabled_i >   0.5 & HH_size_n <=   4.5 & medical_deductions <= 136.0","ranger",944,222,0.2352,0.2046,475,85,0.1789,0.0782,0.0667,8.594,475,85,0.1789,0.0782,0.0667,8.594,"any_error","new","new",NA
"4+","elderly_disabled_i > 0.500 & homeless <= 0.500 & unc_rawben_rel_max <= 0.992","ranger",1790,406,0.2268,0.2046,909,187,0.2057,0.172,0.1606,16.447,909,187,0.2057,0.172,0.1606,16.447,"any_error","new","new",NA
"4+","homeless <=   0.5 & medical_deductions <= 218.0 & months_since_cert_n <=   6.5 & shelter_expenses_by_hh_size > 166.0","ranger",4747,1036,0.2182,0.2046,2369,481,0.203,0.4425,0.4315,42.862,2369,481,0.203,0.4425,0.4315,42.862,"any_error","new","new",NA
"4+","cat_elig <= 1.500 & expedited_i <= 0.500 & rawben_rel_max <= 0.997","ranger",4692,1024,0.2182,0.2045,3695,822,0.2225,0.7562,0.7319,66.854,3695,822,0.2225,0.7562,0.7319,66.854,"any_error","new","new",NA
"4+","children_i > 0.5000 & count_divisible_by_100 <= 2.5000 & percent_abawd <= 0.3100 & total_deductions_by_hh_size > 0.0111","ranger",9212,1974,0.2143,0.2045,4671,968,0.2072,0.8905,0.8856,84.512,4671,968,0.2072,0.8905,0.8856,84.512,"any_error","new","new",NA
"4+","elderly_disabled_i <= 0.5 & HH_size_n > 5.5 & months_since_cert_n <= 6.5","ranger",1398,321,0.2296,0.2045,687,140,0.2038,0.1288,0.1564,12.43,687,140,0.2038,0.1288,0.1564,12.43,"any_error","new","overlap",NA
"4+","elderly_disabled_i >= 1","xgboost",2023,456,0.2254,0.2045,1014,209,0.2061,0.1923,0.1846,18.346,1014,209,0.2061,0.1923,0.1846,18.346,"any_error","new","new",NA
"4+","months_since_cert_n <   9.00 & rawben_rel_max <   0.67 & shelter_expenses_by_hh_size < 482.00 & total_deductions_by_hh_size < 361.00","xgboost",3503,772,0.2204,0.2045,1707,349,0.2045,0.3211,0.2869,30.885,1707,349,0.2045,0.3211,0.2869,30.885,"any_error","new","new",NA
"4+","percent_abawd <=   0.279 & rawben_rel_max <=   0.976 & shelter_expenses_by_hh_size <= 260.000","ranger",4650,1015,0.2183,0.2045,2349,505,0.215,0.4646,0.4421,42.5,2349,505,0.215,0.4646,0.4421,42.5,"any_error","new","new",NA
"4+","percent_abawd >=   0.273 & total_deductions_by_hh_size < 213.000","xgboost",137,39,0.2847,0.2045,94,28,0.2979,0.0258,0.0317,1.701,94,28,0.2979,0.0258,0.0317,1.701,"any_error","new","new",NA
"4+","HH_size_n <=  4.500 & percent_abawd >  0.292 & percent_abawd <=  0.708 & utilities > 55.500","ranger",58,19,0.3276,0.2044,43,9,0.2093,0.0083,0.0104,0.778,43,9,0.2093,0.0083,0.0104,0.778,"any_error","new","new",NA
"4+","cat_elig <   2 & shelter_expenses_by_hh_size >= 303 & shelter_expenses_by_hh_size < 380 & utilities >= 844","xgboost",81,25,0.3086,0.2044,88,21,0.2386,0.0193,0.0172,1.592,88,21,0.2386,0.0193,0.0172,1.592,"any_error","new","new",NA
"4+","elderly_disabled_i >   0.5 & HH_size_n <=   5.5 & percent_abawd <=   0.9 & utilities > 286.0","ranger",1284,296,0.2305,0.2044,670,129,0.1925,0.1187,0.105,12.122,670,129,0.1925,0.1187,0.105,12.122,"any_error","new","new",NA
"4+","elderly_disabled_i >  0.500 & months_since_cert_n <= 17.500 & unc_rawben_rel_max <=  0.998","ranger",1787,405,0.2266,0.2044,905,191,0.211,0.1757,0.1636,16.374,905,191,0.211,0.1757,0.1636,16.374,"any_error","new","new",NA
"4+","married <   1.000 & rawben_rel_max >=   0.162 & rawben_rel_max <   0.489 & utilities >= 280.000","xgboost",1050,245,0.2333,0.2044,501,92,0.1836,0.0846,0.0634,9.065,501,92,0.1836,0.0846,0.0634,9.065,"any_error","new","new",NA
"4+","HH_size_n >=   5.000 & rawben_rel_max >=   0.654 & utilities >= 305.000","xgboost",2207,495,0.2243,0.2043,1139,251,0.2204,0.2309,0.2612,20.608,1139,251,0.2204,0.2309,0.2612,20.608,"any_error","new","overlap",NA
"4+","cat_elig >  0.500 & married <=  0.500 & percent_abawd <=  0.303 & shelter_expenses_by_hh_size > 51.800","ranger",4811,1048,0.2178,0.2043,2546,553,0.2172,0.5087,0.4872,46.065,2546,553,0.2172,0.5087,0.4872,46.065,"any_error","new","new",NA
"4+","cat_elig > 0.500 & rawben_rel_max <= 0.473 & unc_rawben_rel_max > 0.119 & unc_rawben_rel_max <= 0.977","ranger",1853,419,0.2261,0.2043,940,193,0.2053,0.1776,0.1561,17.007,940,193,0.2053,0.1776,0.1561,17.007,"any_error","new","new",NA
"4+","children_i >   0.5 & married >   0.5 & months_since_cert_n >   6.5 & total_deductions_by_hh_size <= 176.0","ranger",593,144,0.2428,0.2043,315,69,0.219,0.0635,0.0649,5.699,315,69,0.219,0.0635,0.0649,5.699,"any_error","new","new",NA
"4+","elderly_disabled_i > 0.50000 & rawben_rel_max > 0.00806","ranger",2021,455,0.2251,0.2043,1014,209,0.2061,0.1923,0.1846,18.346,1014,209,0.2061,0.1923,0.1846,18.346,"any_error","new","new",NA
"4+","months_since_cert_n <  17.000 & percent_abawd >=   0.273 & shelter_expenses_by_hh_size < 360.000 & unc_rawben_rel_max >=   0.166","xgboost",129,37,0.2868,0.2043,91,24,0.2637,0.0221,0.0278,1.646,91,24,0.2637,0.0221,0.0278,1.646,"any_error","new","new",NA
"4+","HH_size_n > 5.500 & months_since_cert_n > 2.500 & months_since_cert_n <= 5.500 & percent_abawd <= 0.268","ranger",814,193,0.2371,0.2042,384,76,0.1979,0.0699,0.0735,6.948,384,76,0.1979,0.0699,0.0735,6.948,"any_error","new","new",NA
"4+","cat_elig <=   1.5 & count_divisible_by_100 <=   1.5 & married >   0.5 & total_deductions_by_hh_size > 188.0","ranger",513,126,0.2456,0.2042,488,118,0.2418,0.1086,0.1099,8.829,488,118,0.2418,0.1086,0.1099,8.829,"any_error","new","new",NA
"4+","count_divisible_by_100 <   1 & shelter_expenses_by_hh_size < 300 & utilities >= 600 & utilities < 679","xgboost",272,71,0.261,0.2042,216,53,0.2454,0.0488,0.0503,3.908,216,53,0.2454,0.0488,0.0503,3.908,"any_error","new","shifted",949.4
