report_year,source,jurisdiction,page,variable,label_raw,label_norm,value_raw
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,program_admin,Program Administration,program administration,State-administered
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,reporting,Reporting Requirements,reporting requirements,Simplified & change reporting
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,,Simplified Reporting - Action on Changes,simplified reporting action on changes,Act only on changes that result in an increase in household benefits
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,cert_periods,Simplified Reporting - Certification Length,simplified reporting certification length,6 & 12 months only
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,,Simplified Income and Resources,simplified income and resources,Income only
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,self_employment,Simplified Self-Employment Determination,simplified self employment determination,Another method: uses an average of income to determine monthly income
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,,Simplified Homeless Housing Cost,simplified homeless housing cost,Yes
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,suas,Standard Utility Allowances (SUAs),standard utility allowances suas,Mandatory SUAs
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,,Treatment of Vehicles,treatment of vehicles,All vehicles excluded
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,,Treatment of Income and Deductions of Ineligible Non-Citizens,treatment of income and deductions of ineligible non citizens,Prorate for both categories
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,child_support,Child Support Expense Exclusion,child support expense exclusion,No
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,child_support_disq,Child Support Related Disqualification,child support related disqualification,None
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,comparable_disq,Comparable Disqualifications,comparable disqualifications,No
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,drug_felony,Drug Felony Disqualifications,drug felony disqualifications,No ban
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,work_requirements,Work Requirements and Disqualification Policy,work requirements and disqualification policy,Regulatory minimum
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,bbce,Broad Based Categorical Eligibility (BBCE),broad based categorical eligibility bbce,Yes
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,tba,Transitional Benefits Alternative (TBA),transitional benefits alternative tba,No
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,,Document Imaging,document imaging,Completely electronic files statewide
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,demonstrations,Demonstrations for the Elderly and Disabled,demonstrations for the elderly and disabled,None
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,cap,Combined Application Project (CAP),combined application project cap,No
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,,Online Application,online application,No online application
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,,Online Case Management,online case management,No online case management
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,,Call Centers,call centers,Respond to general inquiries & respond to application or case-specific inquiries
2016,12-State_Options_Oct1_2015.pdf,District of Columbia,38,,Mobile Technology,mobile technology,No mobile technology
2016,12-State_Options_Oct1_2015.pdf,Florida,39,,SNAP Name,snap name,Food Assistance Program
2016,12-State_Options_Oct1_2015.pdf,Florida,39,program_admin,Program Administration,program administration,State-administered
