Year,State,ProgramAdministration,ReportingRequirements,CertificationPeriods,SelfEmploymentIncome,SUAs,IneligibleNoncitizensPrePRWORA,IneligibleNoncitizensPostPRWORA,ChildSupportPayments,ChildSupportDisqualifications,ComparableDisqualification,DrugFelonyDisqualifications,WorkRequirements,SNAPETPrograms,ABAWDTimeLimitWaiver,ABAWDDiscretionaryExemptions,BBCE,TBA,DemonstrationsElderlyDisability,CAP
2024,Virginia,"Region, district, or county administered",Simplified and change reporting,"4 months, 6 months, 12 months, 24 months",Actual costs,SUAs not mandatory,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,No use of discretionary exemptions,BBCE,TBA,SMD and ESAP,Modified CAP
2024,Washington,State administered,Simplified reporting only,12 months,Another method,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense exclusion,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,ESAP only,Standard CAP
2024,West Virginia,State administered,Simplified and change reporting,"12 months, 24 months",Actual costs,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,Modified disqualification,Extended disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,No SMD or ESAP,No CAP
2024,Wisconsin,"Region, district, or county administered",Simplified reporting only,"6 months, 12 months",Actual costs,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,No SMD or ESAP,No CAP
2024,Wyoming,State administered,Simplified reporting only,"4 months, 6 months, 12 months",Another method,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,No BBCE,No TBA,SMD only,No CAP
2025,Alabama,State-administered,Simplified reporting only,12 months,,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,No ABAWD time limit waiver,No use of discretionary exemptions,BBCE,No TBA,SMD and ESAP,No CAP
2025,Alaska,State-administered,Simplified reporting only,"12 months, 24 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,No BBCE,No TBA,No SMD or ESAP,No CAP
2025,Arizona,State-administered,Simplified and change reporting,"12 months, 24 months",,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,SMD and ESAP,Modified CAP
2025,Arkansas,State-administered,Simplified and change reporting,"4 months, 6 months",,Mandatory SUAs,,,Deducted from income,Failure to cooperate: disqualification for custodial and noncustodial parent and arrearage on support payments,No comparable disqualifications,No disqualification,Extended disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,No BBCE,No TBA,SMD and ESAP,No CAP
2025,California,"Region, district, or county administered",Simplified reporting,"12 months, 24 months",,Mandatory SUAs,,,Excluded from income,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,Statewide ABAWD time limit waiver,No use of discretionary exemptions,BBCE,TBA,SMD and ESAP,No CAP
2025,Colorado,"Region, district, or county administered",Simplified reporting only,"6 months, 24 months",,Mandatory SUAs,,,Excluded from income,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,SMD only,No CAP
2025,Connecticut,State-administered,Simplified reporting only,12 months,,Mandatory SUAs,,,Deducted from income,None,No comparable disqualifications,Modified disqualification,Extended disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,ESAP only,No CAP
2025,Delaware,State-administered,Simplified reporting only,"12 months, 24 months",,Mandatory SUAs,,,Excluded from income,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Statewide ABAWD time limit waiver,No use of discretionary exemptions,BBCE,No TBA,No SMD or ESAP,No CAP
